compendium_row_id	cell_type	axis	rubrics_reading	n_rubrics	first_introduced_by	status	notes
actor_executive_agency_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_governors_office_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_independent_agency_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_intergov_agency_lobbying_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_legislative_branch_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_lobbying_firm_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_local_government_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_paid_lobbyist_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_principal_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_public_entity_other_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
actor_volunteer_lobbyist_registration_required	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_registration_threshold_compensation_dollars	typed Optional[Decimal]	legal	cpi_2015;focal_2024;hg_2007;newmark_2005;newmark_2017;opheim_1991	6	cpi_2015_c11_projection_mapping.md	firm	
consultant_lobbyist_report_includes_income_by_source_type	typed Set[enum] + amounts	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
def_actor_class_elected_officials	binary	legal	newmark_2005;newmark_2017;opheim_1991	3	newmark_2017_projection_mapping.md	firm	
def_actor_class_public_employees	binary	legal	newmark_2005;newmark_2017;opheim_1991	3	newmark_2017_projection_mapping.md	firm	
def_target_executive_agency	binary	legal	cpi_2015;focal_2024;hg_2007;newmark_2005;newmark_2017;opheim_1991	6	cpi_2015_c11_projection_mapping.md	firm	
def_target_executive_staff	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024); split from def_target_legislative_or_executive_staff per D6
def_target_governors_office	binary	legal	cpi_2015;focal_2024;hg_2007	3	cpi_2015_c11_projection_mapping.md	firm	
def_target_independent_agency	binary	legal	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
def_target_legislative_branch	binary	legal	cpi_2015;focal_2024;newmark_2005;newmark_2017;opheim_1991	5	cpi_2015_c11_projection_mapping.md	firm	
