scan_page	row	x	y	w	h	conf	text
159	_header	1715	184	103	27	96	TABLE
159	_header	1833	183	37	26	96	28
159	_header	1175	232	190	28	96	LOBBYISTS:
159	_header	1378	228	220	31	96	DEFINITION,
159	_header	1612	224	271	31	96	REGISTRATION,
159	_header	1896	223	81	27	96	AND
159	_header	1991	220	221	29	96	PROHIBITED
159	_header	2224	216	195	29	95	ACTIVITIES
159	_header	1611	268	51	33	95	(As
159	_header	1672	265	34	30	95	of
159	_header	1717	267	127	32	95	January
159	_header	1856	265	26	31	95	1,
159	_header	1895	263	85	34	95	1990)
159	_header	2008	386	133	30	96	Number
159	_header	2152	385	34	30	96	of
159	_header	819	441	168	45	96	Definition
159	_header	1377	431	150	46	96	Required
159	_header	1949	426	170	38	96	Registered
159	_header	2133	427	113	34	96	During
159	_header	2774	414	171	32	96	Prohibited
159	_header	2957	413	155	30	96	Activities
159	_header	732	487	33	31	96	of
159	_header	779	486	136	36	96	Lobbyist
159	_header	928	484	146	30	96	Includes:
159	_header	1357	482	33	28	95	to
159	_header	1403	479	140	36	95	Register:
159	_header	1994	468	116	38	95	Typical
159	_header	2123	470	77	28	96	Year:
159	_header	2402	463	197	36	96	Registration
159	_header	2612	463	76	27	96	Fees:
159	_header	2782	457	150	35	94	Involving
159	_header	2945	455	159	35	96	Lobbyists:
159	_header	27	591	70	74	71	6)
159	_header	651	635	27	34	29	2
159	_header	1264	605	31	30	66	£
159	_header	1446	608	30	70	40	3
159	_header	1831	624	29	8	51	_
159	_header	2899	581	28	28	24	a
159	_header	30	650	42	53	37	oC
159	_header	643	671	28	8	30	£&
159	_header	751	674	20	13	36	4.
159	_header	1266	636	29	33	22	=
159	_header	1831	634	30	26	29	=
159	_header	2907	610	54	50	55	33
159	_header	30	814	39	67	0	‘c
159	_header	243	833	22	27	45	B
159	_header	754	815	21	30	67	8
159	_header	1278	809	20	17	45	S$
159	_header	1360	801	62	45	55	=:
159	_header	1448	772	35	82	18	]
159	_header	1864	789	33	68	29	Es
159	_header	2825	803	29	21	0	<«
159	_header	2935	795	28	8	0	Se23
159	_header	3059	791	27	27	57	be
159	_header	62	853	16	16	0	""""
159	_header	243	871	33	34	36	A
159	_header	545	837	429	97	37	23428:
159	_header	1040	814	259	97	25	ae:
159	_header	1361	840	62	81	35	Ee
159	_header	1449	847	68	58	17	3g
159	_header	1836	824	96	75	38	ae
159	_header	2190	830	26	45	43	2
159	_header	2321	774	35	81	53	a
159	_header	2464	855	27	48	16	:
159	_header	2691	809	62	71	57	Fs
159	_header	2792	816	63	115	10	T
159	_header	2903	804	175	99	42	Fe:
159	_header	3190	791	62	123	15	i
159	_header	551	901	24	28	9	«e
159	_header	1450	907	7	6	0	.
159	_header	1879	889	19	18	68	s
159	_header	2179	874	31	34	28	is
159	_header	3201	875	20	11	73	-
159	_header	647	920	29	37	50	4
159	_header	747	923	30	32	49	£
159	_header	858	927	116	25	70	22
159	_header	1050	921	22	28	80	2
159	_header	1144	912	30	54	43	3
159	_header	1272	895	247	66	55	Fs
159	_header	1365	891	61	81	73	23
159	_header	1453	891	68	81	87	22
159	_header	1836	889	97	59	36	fig
159	_header	2050	887	27	46	0	2
159	_header	2330	867	28	102	0	£
159	_header	2461	914	30	11	20	5
159	_header	2609	847	31	98	23	i
159	_header	2701	873	55	110	33	a
159	_header	2802	879	32	52	91	25
159	_header	2912	880	56	51	31	eS
159	_header	3028	907	19	32	0	€s
159	_header	3192	887	42	30	46	5:
159	_header	548	921	68	86	23	Sy
159	_header	648	955	130	61	67	Boe
159	_header	858	953	21	44	77	&
159	_header	953	947	27	83	52	H
159	_header	1044	950	131	58	0	25
159	_header	1370	921	54	73	56	ee
159	_header	1450	937	63	52	62	53
159	_header	1839	927	94	89	43	ih
159	_header	2048	935	34	53	16	#
159	_header	2182	938	35	53	43	$
159	_header	2466	925	26	58	85	=
159	_header	2613	946	27	20	24	9°
159	_header	2694	935	28	47	60	83
159	_header	2795	933	172	51	50	£3225
159	_header	2986	897	96	81	21	aie
159	_header	3195	927	34	44	30	og
159	_header	1485	1035	28	8	96	=
159	_header	2905	1017	29	18	64	2
159	_header	2987	1012	62	17	43	4
159	_header	246	1111	33	55	8	E
159	_header	314	1075	191	36	67	jurisdiction
159	_header	581	1072	31	28	24	S82
159	_header	648	1059	30	41	73	2
159	_header	752	1083	28	15	21	GD
159	_header	852	1064	27	35	73	&€
159	_header	947	1058	28	40	16	5S
