column	flag	jurisdiction	n_matched	offset_px	raw	scan_page	table
	scan_offset_applied		21	8.2		159	28
def_legislative_parliamentary	unknown_marker	Alabama			%	159	28
def_administrative_agency	unknown_marker	Alabama			#	159	28
def_public_employees_as_lobbyists	unknown_marker	Alabama			=	159	28
def_compensation_standard	unknown_marker	Alabama			=	159	28
def_expenditure_standard	unknown_marker	Alabama			=	159	28
def_time_standard	unknown_marker	Alabama			=	159	28
reg_other	unknown_marker	Alabama			=	159	28
prohibit_other	unknown_marker	Alabama			fa)	159	28
def_administrative_agency	unknown_marker	Alaska			8	159	28
def_elective_officials_as_lobbyists	unknown_marker	Alaska			2	159	28
def_compensation_standard	unknown_marker	Alaska			=	159	28
reg_actual_contact_with_state_officials	unknown_marker	Alaska			‘8	159	28
def_time_standard	unknown_marker	Arkansas			=	159	28
reg_employing_individuals_with_actual_contact	unknown_marker	Arkansas			8	159	28
reg_public_officials_lobbying_in_official_capacity	unknown_marker	Arkansas			=	159	28
reg_other	unknown_marker	Arkansas			=	159	28
prohibit_expenditures_over_threshold	unknown_marker	Arkansas			10	159	28
prohibit_other	unknown_marker	Arkansas			{ss}	159	28
reg_other	unknown_marker	California			=	159	28
prohibit_expenditures_over_threshold	unknown_marker	California			(b)	159	28
def_administrative_agency	unknown_marker	Connecticut			.	159	28
def_public_employees_as_lobbyists	unknown_marker	Connecticut			~	159	28
def_compensation_standard	unknown_marker	Connecticut			.	159	28
def_expenditure_standard	unknown_marker	Connecticut			.	159	28
reg_other	unknown_marker	Connecticut			(a)	159	28
def_compensation_standard	unknown_marker	Florida			~	159	28
def_legislative_parliamentary	unknown_marker	Hawaii			.	159	28
def_administrative_agency	unknown_marker	Hawaii			.	159	28
def_compensation_standard	unknown_marker	Hawaii			.	159	28
def_expenditure_standard	unknown_marker	Hawaii			.	159	28
reg_other	unknown_marker	Hawaii			=	159	28
prohibit_solicitation_for_officials	unknown_marker	Hawaii			.	159	28
