jurisdiction,def_legislative_parliamentary,def_administrative_agency,def_elective_officials_as_lobbyists,def_public_employees_as_lobbyists,def_compensation_standard,def_expenditure_standard,def_time_standard,reg_actual_contact_with_state_officials,reg_employing_individuals_with_actual_contact,reg_public_officials_lobbying_in_official_capacity,reg_other,reg_firm_must_register_all_employees,registered_as_lobbyists,registered_as_lobbyist_employees,registered_public_agency_lobbyists,fee_amount,fee_period_covered,prohibit_campaign_contribs_any_time,prohibit_campaign_contribs_during_session,prohibit_expenditures_over_threshold,prohibit_solicitation_for_officials,prohibit_other,prohibit_contingent_compensation,fee_amount_numeric,_footnotes,_scan_page
Alabama,%,,,,,,,*,,,=,,-,300,,,0,—,—,—,—,fa),*,,,159
Alaska,*,8,2,,=,,,‘8,,,,,-,500,NA,-,0,—,—,—,—,—,,,,159
Arkansas,*,*,*,*,*,,=,,8,,,,- No,-,-,-,25.,—,—,10,,{ss},*,,,159
California,*,*,—,—,*,*,*,*,*,,=,,,"1,500",500,,30,—,—,(b),—,—,*,,,159
Connecticut,*,.,—,~,.,.,—,*,,—,(a),,,,,,,,,,*,,,,,159
Florida,—,*,,—,~,—,,*,—,—,*,,-,- 225,— 167,"1,200 0",10 0,—,—,—,—,—,—,1200.0,,159
Hawaii,.,.,—,—,.,.,*,*,—,—,=,,- -,280,-,~,10,—,—,—,.,,*.,,,159
Idaho,*,,*,,*,—,,*,*,—,—,,,550,450,-,20,—,—,—,—,—,*,,,159
Indiana,*,,,,,,,,,*,=,,-,500 600,-,-,0,—,—,—,{g),—,—,,,159
Iowa,*,—,—,—,—,—,,—,—,,,,-,,,,,,,,*,,*,,,159
Kansas,*,*,—,,—,*,—,*,*,=,,,-,690 400,- -,- -,15 10,—,—,—,—,—,—,,,159
Louisiana,*,—,—,—,*,—,—,*,,=,=,,-,300 400,~,-,75,Annual,—,—,,—,~-,,,159
Maine,*,—,—,—,*,—,*,*,*,,,,-,450,565,-,0,*,—,—,*,—,*,,,159
Maryland,.,*,—,—,*,*,*,*,*,—,{j),,- *,615,673,-,35,Annual,—,—,—,—,.,,,159
Massachusetts,*,*,—,—,‘,—,—,,,—,,,,,,,,,,,,,*,,,159
Michigan,*,*,—,*,*,*,*,*,8,,,,- -,"1300 1,10Q",800 -,- -,O Permanent O Permanent,—,—,—,—,@),*,,registered_as_lobbyist_employees=n; fee_period_covered=o,159
Minnesota,",",.,—,—,,*,,,*,—-,{m),,-,290,290,-,25,—,—,—,*,—,,,,159
Mississippi,.,—,—,—,,—,—,*,,—,(q),,-,"1,000",-,500,3 times O,yr.,,,,,,500.0,,159
Missouri,*,—,—,*,*,—,—,*,*,,,,-,680,379,,10,—,—,—,—,—,—,,fee_amount=s,159
Montana,*,,—,*.,—,.,,,,(ff),=,,,,,,,,,,.,,*,,,159
Nebraska,3,—,—,—,—,—,—,+,*,—,—,,-,369 531,756 -,- -,35,—,—,—,*,(t),*,,fee_period_covered=u,159
Nevada,*,—,—,—,—,—,—,,,=,=,,- *,160,-,-,,—,—,—,—,—,—,,fee_period_covered=w,159
New Hampshire,*,—,—,—,*,—,—,,—,=,=,,,,,,,,,,,,,,,159
District of Columbia,*,*,—,—,*,*,*,—,*,=,—,,-,150,150,-,0,Annual,—,—,—,—,(rr),,,160
New Jersey,*,—,—-,—_,*,*,*,*,*,-~,—_,,*,N.A.,—_,_,0,—,,,,,*,,,160
New York,*,,—,—,—,—,,*,*,=,=,,*,"1,000",970,-,50,Annual,—,—,—,—,,,,160
North Carolina,*,—,,(y),—,—,—,,*,=,(x),,-,500,500,275,75,—,—,—,—,(aa),*,275.0,registered_as_lobbyist_employees=z,160
North Dakota,*,—,‘,—,,,—,,*,—,—,,-,500,500,-,10,—,—,—,—,—,*,,,160
Oklahoma,*,*,,,*,*,*,—,=,=,=,,-,400,-,-,QO,*,—,—,—,(bb),*,,,160
Oregon,.,—,*,*,*,,*,*,(cc),*,(dd),,,"1,100",950,200,O Permanent,,(gg),—,(hh),—,,200.0,registered_as_lobbyists=ee; registered_as_lobbyist_employees=ff,160
South Dakota,*,—,—,,—,—,—,,*,*,—,,-,500,400,300,10,Annual,—,—,~,—,—,300.0,,160
Tennessee,*,*,ad),—,—,*,—,*,=,,,,~,700 750,-,-,25,Annual,*,—,fii),Gj,—,,,160
Texas,*,*,—,—,*,*,*,—,—,,—,,-,800,NA.,NA,100 Biennial,—-,,—,—,—,(nn),,fee_period_covered=mm,160
Utah,.,*.,—,—,—,—,—,*,—,,,,-,"1,000",-,-,10,Biennial,—,—,—,*,—,,,160
Vermont,*,—,—,—,*,—,—,*,f,=,—,,NA.,300,200 250,-,5,Annual,—,—,—,—,(pp),,,160
Virginia,.,—,—,—,‘,.,—,*,—,—,—,,-,650,"1,000",-,30,—,—,—,~,—,,,,160
Washington,*,*,*,*,,*,*,*,—,—,=,,-,700,800,125,0,—,—,—,—,*,—,125.0,,160
West Virginia,*,,—,—,‘,*,—,.,—,,—,,-,250,-,-,20,~=Biennial,,—,—,.,,,,160
Wisconsin,.,.,—,‘,—,*,*,,,*,—,,-,525,575,75,,—,,—,,,—,75.0,fee_period_covered=tt,160
Wyoming,.,—,—,—,*,.,—,*,.,,—,,— 700,(2 yrs.),,,3,—,~,—,~,—,,,,160
