jurisdiction,review_desk_all,review_field_all,review_desk_or_field_all,review_desk_over_threshold,review_field_over_threshold,review_desk_or_field_over_threshold,review_desk_random,review_field_random,review_desk_or_field_random,review_desk_complaints,review_field_complaints,review_desk_or_field_complaints,approx_reports_filed_annually,approx_reported_expenditures_prior_year,public_access_unrestricted,public_access_restricted,public_access_not_available,public_access_agency_compiles_publishes,approx_reported_expenditures_prior_year_numeric,_footnotes,_scan_page
Alabama,*,—,—,—,*,—,—,—,—,—,—,*,,"6,800,000",*,,,‘,6800000.0,,169
Alaska,*,—,—,—,—,—,—,—,—,—,,N.A.,"3,200 N.A.",N.A.,N.A.,NLA.,N.A,N.A,,,169
Arizona,N.A.,N.A.,N.A,N.A.,N.A.,N.A.,N.A,N.A.,"N.A,",N.A.,N.A.,,"2,000",_,*,,—,—,,,169
Arkansas,—,—,,—,—,—,—,—,—,—,—,—,,,,,,,,,169
Colorado,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,"N.A. 10,000,000",*,N.A.,—,*,10000000.0,,169
Connecticut,*,—,—,—,—,—,—,—,=,—,—,—,"1,500 N.A.",N.A.,N.A.,N.A.,"N.A,",N.A,,,169
Delaware,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,169
Georgia,/,,,,,,,,,,,,,,,,,*,,,169
Hawaii,*,—_—,®,—_—,—,—,—,—_—,—,*,*,*,875,(a) 228400,*,—,—,—,228400.0,,169
Idaho,*,—,—,—,—,—,—,—,—,—,,—,"1,20 N.A.",N.A.,N.A.,N.A.,N.A.,N.A.,,,169
Illinois,N.A.,N.A,N.A.,N.A.,N.A.,N.A.,N.A.,N.A,*,N.A.,N.A.,,,—_—,*,,—~,*,,,169
Indiana,—,—,—,—_—,—_—,—_—,,—_,,*,,—,"2,000 NA.",NA.,‘,—,—,—,,,169
Iowa,—,—,—,~,—,—,—,—,—,,—,—,,,,,,‘,,,169
Kansas,*,—,—,—,—,—,—,—,—,—,N.A.,—,570 N.A.,(b) N.A.,*,—,—,N.A.,,,169
Kentucky,N.A,N.A.,N.A,N.A.,N.A,N.A.,N.A,N.A.,N.A.,N.A.,—_—,,—_—,—,*,—_—,~<,*,,,169
Louisiana,*,—,—_—,,-_,_—,—,—_—,—,,,—,,,*,—,—,*,,,169
Maine,—,—,—,—,—,—,—,—,—,—,*,—,"4800 1,450",,—,—,—,,,approx_reported_expenditures_prior_year=d,169
Maryland,,—,—,—,—,—,—,—,—,—,,—,,,,,,,,,169
Massachusetts,*,—,—,—,—,—,—,—,—,—,—,—,3000,,*,—,—,*,,approx_reported_expenditures_prior_year=e,169
Michigan,®,—,—,—_—,—,—_—,—_—,—_—,—,—,—,,"4,200 10,000",—,*,—,—,*,,,169
Minnesota,*,—_—,—,—,—,—_—,—,—,—,—,—,—,580,,*,—,—,*,,approx_reported_expenditures_prior_year=f,169
Mississippi,*,—,—,—,—,—,—,—,—,—,—,—,"3,000",,—,—,—,,,approx_reported_expenditures_prior_year=g,169
Missouri,—,—,—,—,—,,—,—,—,—,—,—,,,,,,,,,169
Montana,,,,,,,,*,,*,*,,,,*,—,—,—,,approx_reported_expenditures_prior_year=i,169
Nebraska,—,—,—,—,—,—,*,,—,,,—,"6,0007,000",,,,,,,,169
Nevada,*,—,,—,—,—,—,—,—,—,—,—,3717,i),*,—,—,*,,,170
New Hampshire,*,—,—,—,—,—,—,—,—,—,—,—,160,N.A.,*,—,—,—,,,170
New Jersey,—,—,*,—,—,—,—,—,—,—,—,—,500,,*,—,—,*,,approx_reported_expenditures_prior_year=k,170
