jurisdiction,compliance_agency_name,auth_subpoena_witnesses,auth_subpoena_records,auth_conduct_administrative_hearings,auth_impose_administrative_fines,auth_impose_administrative_penalties_amount,auth_file_independent_court_actions,auth_request_other_official_mandatory,auth_request_other_official_discretionary,auth_who_else_can_prosecute,auth_impose_administrative_penalties_amount_numeric,_footnotes,_scan_page
Alabama,AL Ethics Commission,—,—,*,—,—,—,—,*,Attorney general or Dis- trict attorney,,,172
Alaska,AK Public Offices,*,*,.,*,*,*,—,*,Attorney general,,,172
Arizona,Commission Secretary of State’s Office,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,172
Arkansas,Secretary of State’s Office,,—,—,—,_,—,—,—,Attorney general,,,172
California,Elections Division Fair Political Practices,*,*,*,(a),_,*,—,*,,,,172
Colorado,Commission Department of State,—,—,—,—,—_,—,—,—,,,,172
Connecticut,CT State Ethics,*,.,*,*,"1,000",*,—,*,State’s attorney,1000.0,,172
Florida,Commission FL Commission on Ethics,*,*,*,—,—,*,—,—,,,,172
Georgia,State Ethics Commission,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,172
Hawaii,State Ethics Commission,*,‘,*,—,_,—,—,*,,,,172
Idaho,Secretary of State’s Office,N.A.,—,*,*,_,—,—,*,,,,172
Illinois,,N.A.,—,—,—,-,—,—,—,,,,173
Indiana,UO State Ethics Commission,—,*,*,(b),,—,—,—,,,auth_impose_administrative_penalties_amount=c,173
Iowa,lowa Secretary of the Senate,*,*,(d),—,_,—,—,—,,,,173
Kansas,KS Public Disclosure,*,*,*,,,,,—,Attorney general,,,173
Kentucky,Commission,N.A.,N.A.,NA.,(e),_ N.A.,—,—,N.A.,,,,173
Louisiana,,—,—,—,—,—,—,—,—,No sanctioning,,,173
Maine,"/ Secretary of State’s Office, Division of Public",,,,,,,,,,,,173
Maryland,Administration State Ethics Commission,*,*,*,(f),_,*,*,—,Attorney general Ethics Commission or state,,auth_impose_administrative_penalties_amount=g,173
Massachusetts,"JO Secretary of State’s Office, Division of Public",,,,,,,,,prosecutor,,,173
Michigan,"Records Dept. of State, Bureau of Elections",—,—,*,(h),,—,—,*,Attorney general Attorney general,,auth_impose_administrative_penalties_amount=i,173
Minnesota,MN Ethical Practices Board,*,*,—,(m),,*,—,*,Appropriate law enforce- ment authorities,,auth_impose_administrative_penalties_amount=n,173
Mississippi,Secretary of State’s Office,—,—,—,—,-,—,*,—,Attorney general,,,174
Missouri,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,174
Montana,Commr. of Political,,,,—,_,*,—,—,,,,174
Nebraska,Practices NE & Accountability Disclosure Commission,*,*,*,(0),,*,—,*,Attorney general,,auth_impose_administrative_penalties_amount=p,174
Nevada,Legislative Counsel Bureau,*,*,—,—,—,—,—,,Attorney general,,,174
New Hampshire,Secretary of State’s Office,—,—,—,—,_,—,—,—,Attorney general,,,174
New Jersey,NJ Election Law Enforcement Commission,,,,,—,—,—_,—,,,,174
New Mexico,,—,—,=,(q),NLA.,N.A.,N.A.,N.A.,,,,174
New York,NY State Commission,*,,*,,*,,,,,,,174
