source_paper,source_id,source_text,group_id,group_label
CPI_2015,C11,Lobbying disclosure,g_127,CPI 2015 lobbying-disclosure category (composite)
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_029,Categories of lobbyists / lobbying entities covered by registration
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_030,Qualifying threshold (financial or time) for registration is no / low
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_031,Categories of officials / branches covered as lobbying targets
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_032,Breadth of activities included in the definition of lobbying
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_034,Registration changes (new / dereg / new clients) updated promptly
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_033,Lobbying activities disclosed close to real time
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_035,Ministerial / official diaries disclosed monthly or more often
FOCAL,openness.1,Lobbyist register is online,g_001,Online lobbyist register / dedicated state lobbying website exists
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_025,Diaries of lobbyists / ministers / staff available online
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_006,Lobbying data downloadable in open / machine-readable format
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_006,Lobbying data downloadable in open / machine-readable format
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_007,Searchable interface with simultaneous multi-criteria sorting
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_026,Unique identifiers for individuals / organisations in register
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_027,"Lobbying data linked to other datasets (e.g., campaign finance)"
