country,indicator_id,focal_2024_indicator_id_map,category,indicator_label_short,weight_inferred,max_score,weighted_score,raw_score,note
Canada,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Chile,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United States,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Ireland,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
France,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,2,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Scotland,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Finland,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Estonia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Australia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Lithuania,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Germany,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,2,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Greece,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Latvia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
