paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
pri_2010	accessibility.Q1	At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).	Data availability	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q1.
pri_2010	accessibility.Q2	The state has a dedicated website for lobbying information.	Website existence	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q2. Likely obsolete for 2026 — flag for Phase 3.
pri_2010	accessibility.Q3	How easily a state's lobbying website can be found.	Website identification	binary			"Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q3 (footnote 92 in source). PRI does not define ""easily"" — flag for Phase 3."
pri_2010	accessibility.Q4	At least some current lobbying data/information available on the website for the most recent year.	Current data availability	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q4.
pri_2010	accessibility.Q5	Historical lobbying information is available, downloadable, or at least viewable on the state's website.	Historical data availability	binary			"Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q5. ""Historical"" horizon not specified — flag for Phase 3."
pri_2010	accessibility.Q6	How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.	Data format	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q6. 2010 treated CSV/Excel as gold standard; 2026 should reward bulk download / API access — flag for Phase 3.
pri_2010	accessibility.Q7a	Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7. Q7 = 15 sub-criteria a–o; original PRI scoring weighted each at 1 point (sub-component max 15).
pri_2010	accessibility.Q7b	Can users specify data searches on the website by Principal's location (specific address; city).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.
pri_2010	accessibility.Q7c	Can users specify data searches on the website by Lobbyist name.	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.
pri_2010	accessibility.Q7d	Can users specify data searches on the website by Lobbyist location (specific address; city).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.
