cluster_id,cluster_size,source_paper,source_id,source_text
c_001,6,FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms)
c_001,6,HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?
c_001,6,Newmark2005,disc_total_compensation,total compensation received
c_001,6,Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received
c_001,6,Opheim,disclosure.total_income,total income
c_001,6,Sunlight,lobbyist_compensation,Lobbyist Compensation
c_002,4,FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable"
c_002,4,FOCAL,openness.4,"Downloadable (eg, as files, database)"
c_002,4,OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website
c_002,4,pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS."
c_003,4,FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting)
c_003,4,Newmark2005,disc_total_expenditures,total expenditures
c_003,4,Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying
c_003,4,Opheim,disclosure.total_spending,lobbyist's total spending
c_004,4,FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
c_004,4,Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees
c_004,4,Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees
c_004,4,Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts
c_005,4,FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)"
c_005,4,Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence
c_005,4,Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action
c_005,4,Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist
c_006,4,HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?"
c_006,4,Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying
c_006,4,Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist
c_006,4,Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition
c_007,4,HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?
c_007,4,Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year)
c_007,4,OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports)
c_007,4,Opheim,disclosure.frequency,Frequency of reporting required of lobbyists
c_008,4,HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?"
c_008,4,Newmark2005,disc_categories_of_expenditures,categories of expenditures
c_008,4,Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures
c_008,4,Opheim,disclosure.spending_by_category,spending by category
c_009,3,FOCAL,openness.1,Lobbyist register is online
c_009,3,HiredGuns,Q31,Location/format of registrations or active lobbyist directory
c_009,3,pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.
c_010,3,FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria"
c_010,3,OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website
c_010,3,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.
c_011,3,FOCAL,financials.2,Lobbying income per client
c_011,3,Newmark2005,disc_compensation_by_employer,compensation received broken down by employers
c_011,3,Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer
c_012,3,FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc"
c_012,3,pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?
c_012,3,pri_2010,disclosure.E2g_ii,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?
c_013,3,Newmark2005,def_legislative_lobbying,legislative lobbying
c_013,3,Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist
c_013,3,Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition
c_014,3,Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists
c_014,3,Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors
c_014,3,Opheim,def.elective_officials,elective officials designated as lobbyists
c_015,3,Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists
c_015,3,Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors
c_015,3,Opheim,def.public_employees,public employees designated as lobbyists
c_016,3,Newmark2005,def_compensation_standard,compensation standard
c_016,3,Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying)
c_016,3,Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity
c_017,3,Newmark2005,def_expenditure_standard,expenditure standard
c_017,3,Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying)
c_017,3,Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity
c_018,3,Newmark2005,def_time_standard,time standard
c_018,3,Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying)
c_018,3,Opheim,def.time_standard,specific time standard to delineate lobbying activity
c_019,2,FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable
c_019,2,pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website."
c_020,2,FOCAL,relationships.1,Client list (for all consultant lobbyists and firms)
c_020,2,pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?
c_021,2,FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households"
c_021,2,HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?"
c_022,2,FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received"
c_022,2,Opheim,disclosure.sources_of_income,sources of income
c_023,2,HiredGuns,Q40,Does the state agency conduct mandatory reviews or audits?
c_023,2,Opheim,enforce.thoroughness_of_reviews,thoroughness of reviews of lobby reports by oversight agency
c_024,2,HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?"
c_024,2,Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period)
c_025,2,Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time
c_025,2,Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time
c_026,2,Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session
c_026,2,Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions
c_027,2,Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts
c_027,2,Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited
c_028,2,pri_2010,disclosure.E1f_i,Required component of disclosure report: Direct lobbying costs (compensation).
c_028,2,pri_2010,disclosure.E2f_i,Required component of disclosure report: Direct lobbying costs (compensation).
c_029,2,pri_2010,disclosure.E1f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).
c_029,2,pri_2010,disclosure.E2f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).
c_030,2,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging."
c_030,2,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging."
c_031,2,pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?
c_031,2,pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?
c_032,2,pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?
c_032,2,pri_2010,disclosure.E2g_i,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?
c_033,2,pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.
c_033,2,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.
c_034,2,pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.
c_034,2,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.
c_035,2,pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).
c_035,2,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).
c_036,2,pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.
c_036,2,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.
c_037,2,pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.
c_037,2,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.
c_038,2,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).
c_038,2,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).
c_039,2,pri_2010,disclosure.E1i,Are principals required to disclose contacts?
c_039,2,pri_2010,disclosure.E2i,Are lobbyists required to disclose contacts?
