source_paper_i,source_id_i,source_text_i,source_paper_j,source_id_j,source_text_j,agreement_count,pair_strength,m1_count,m2_count,m3_count,cross_method_spread
pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Sunlight,lobbyist_compensation,Lobbyist Compensation,4,0.4444444444444444,0,1,3,3
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,4,0.4444444444444444,0,1,3,3
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,4,0.4444444444444444,0,1,3,3
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,4,0.4444444444444444,0,1,3,3
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",pri_2010,disclosure.A4,Lobbying firms.,4,0.4444444444444444,1,0,3,3
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),Sunlight,lobbyist_compensation,Lobbyist Compensation,5,0.5555555555555556,2,3,0,3
Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,Opheim,disclosure.sources_of_income,sources of income,5,0.5555555555555556,3,0,2,3
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),5,0.5555555555555556,2,3,0,3
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),5,0.5555555555555556,0,2,3,3
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",5,0.5555555555555556,0,2,3,3
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2005,disc_total_expenditures,total expenditures,Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),4,0.4444444444444444,1,0,3,3
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,pri_2010,disclosure.E1a,Are principals required to disclose?,4,0.4444444444444444,0,3,1,3
HiredGuns,Q15,What spending must be itemized?,pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q15,What spending must be itemized?,pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,4,0.4444444444444444,1,0,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),4,0.4444444444444444,1,0,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2005,def_expenditure_standard,expenditure standard,4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2005,def_compensation_standard,compensation standard,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A7,Legislative branch.,pri_2010,disclosure.A9,Local governments.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A7,Legislative branch.,pri_2010,disclosure.A8,Independent agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A6,Executive branch agencies.,pri_2010,disclosure.A10,Government agencies who lobby other agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A6,Executive branch agencies.,pri_2010,disclosure.A9,Local governments.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A6,Executive branch agencies.,pri_2010,disclosure.A8,Independent agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A6,Executive branch agencies.,pri_2010,disclosure.A7,Legislative branch.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A5,Governor's office.,pri_2010,disclosure.A10,Government agencies who lobby other agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A5,Governor's office.,pri_2010,disclosure.A9,Local governments.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A5,Governor's office.,pri_2010,disclosure.A8,Independent agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A5,Governor's office.,pri_2010,disclosure.A7,Legislative branch.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A5,Governor's office.,pri_2010,disclosure.A6,Executive branch agencies.,4,0.4444444444444444,1,0,3,3
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Opheim,disclosure.total_spending,lobbyist's total spending,Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,4,0.4444444444444444,0,1,3,3
pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,4,0.4444444444444444,0,1,3,3
pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,4,0.4444444444444444,0,1,3,3
pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,4,0.4444444444444444,0,1,3,3
