source_paper_i,source_id_i,source_text_i,source_paper_j,source_id_j,source_text_j,agreement_count,pair_strength,m1_count,m2_count,m3_count,cross_method_spread
FOCAL,openness.4,"Downloadable (eg, as files, database)",OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,9,1.0,3,3,3,0
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,9,1.0,3,3,3,0
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website.",9,1.0,3,3,3,0
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,9,1.0,3,3,3,0
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",Newmark2005,disc_categories_of_expenditures,categories of expenditures,9,1.0,3,3,3,0
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,9,1.0,3,3,3,0
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",Opheim,disclosure.spending_by_category,spending by category,9,1.0,3,3,3,0
HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),9,1.0,3,3,3,0
Newmark2005,def_legislative_lobbying,legislative lobbying,Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,9,1.0,3,3,3,0
Newmark2005,def_legislative_lobbying,legislative lobbying,Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,9,1.0,3,3,3,0
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,9,1.0,3,3,3,0
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,9,1.0,3,3,3,0
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,9,1.0,3,3,3,0
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,Opheim,def.elective_officials,elective officials designated as lobbyists,9,1.0,3,3,3,0
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,9,1.0,3,3,3,0
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,Opheim,def.public_employees,public employees designated as lobbyists,9,1.0,3,3,3,0
Newmark2005,def_compensation_standard,compensation standard,Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),9,1.0,3,3,3,0
Newmark2005,def_compensation_standard,compensation standard,Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2005,def_expenditure_standard,expenditure standard,Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),9,1.0,3,3,3,0
Newmark2005,def_expenditure_standard,expenditure standard,Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2005,def_time_standard,time standard,Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),9,1.0,3,3,3,0
Newmark2005,def_time_standard,time standard,Opheim,def.time_standard,specific time standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time,9,1.0,3,3,3,0
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions,9,1.0,3,3,3,0
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited,9,1.0,3,3,3,0
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,9,1.0,3,3,3,0
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,9,1.0,3,3,3,0
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,9,1.0,3,3,3,0
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,9,1.0,3,3,3,0
Newmark2005,disc_total_compensation,total compensation received,Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,9,1.0,3,3,3,0
Newmark2005,disc_total_compensation,total compensation received,Opheim,disclosure.total_income,total income,9,1.0,3,3,3,0
Newmark2005,disc_categories_of_expenditures,categories of expenditures,Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,9,1.0,3,3,3,0
Newmark2005,disc_categories_of_expenditures,categories of expenditures,Opheim,disclosure.spending_by_category,spending by category,9,1.0,3,3,3,0
Newmark2005,disc_total_expenditures,total expenditures,Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,9,1.0,3,3,3,0
Newmark2005,disc_total_expenditures,total expenditures,Opheim,disclosure.total_spending,lobbyist's total spending,9,1.0,3,3,3,0
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,9,1.0,3,3,3,0
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,9,1.0,3,3,3,0
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,Opheim,def.elective_officials,elective officials designated as lobbyists,9,1.0,3,3,3,0
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,Opheim,def.public_employees,public employees designated as lobbyists,9,1.0,3,3,3,0
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),Opheim,def.time_standard,specific time standard to delineate lobbying activity,9,1.0,3,3,3,0
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,9,1.0,3,3,3,0
Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,Opheim,disclosure.total_income,total income,9,1.0,3,3,3,0
Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,Opheim,disclosure.spending_by_category,spending by category,9,1.0,3,3,3,0
Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,Opheim,disclosure.total_spending,lobbyist's total spending,9,1.0,3,3,3,0
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,8,0.8888888888888888,2,3,3,1
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,8,0.8888888888888888,2,3,3,1
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",8,0.8888888888888888,2,3,3,1
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,8,0.8888888888888888,2,3,3,1
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,8,0.8888888888888888,2,3,3,1
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,8,0.8888888888888888,2,3,3,1
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),8,0.8888888888888888,2,3,3,1
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,Sunlight,lobbyist_compensation,Lobbyist Compensation,8,0.8888888888888888,3,3,2,1
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,8,0.8888888888888888,2,3,3,1
