indicator_id,state,score
IND_196,Alabama,YES
IND_196,Alaska,YES
IND_196,Arizona,YES
IND_196,Arkansas,YES
IND_196,California,YES
IND_196,Colorado,Yes
IND_196,Connecticut,YES
IND_196,Delaware,YES
IND_196,Florida,YES
IND_196,Georgia,YES
IND_196,Hawaii,YES
IND_196,Idaho,YES
IND_196,Illinois,YES
IND_196,Indiana,YES
IND_196,Iowa,YES
IND_196,Kansas,YES
IND_196,Kentucky,YES
IND_196,Louisiana,YES
IND_196,Maine,YES
IND_196,Maryland,YES
IND_196,Massachusetts,YES
IND_196,Michigan,YES
IND_196,Minnesota,YES
IND_196,Mississippi,YES
IND_196,Missouri,YES
IND_196,Montana,NO
IND_196,Nebraska,YES
IND_196,Nevada,NO
IND_196,New Hampshire,YES
IND_196,New Jersey,YES
IND_196,New Mexico,YES
IND_196,New York,YES
IND_196,North Carolina,YES
IND_196,North Dakota,NO
IND_196,Ohio,YES
IND_196,Oklahoma,YES
IND_196,Oregon,YES
IND_196,Pennsylvania,YES
IND_196,Rhode Island,YES
IND_196,South Carolina,YES
IND_196,South Dakota,NO
IND_196,Tennessee,YES
IND_196,Texas,YES
IND_196,Utah,YES
IND_196,Vermont,YES
IND_196,Virginia,YES
IND_196,Washington,YES
IND_196,West Virginia,YES
IND_196,Wisconsin,YES
IND_196,Wyoming,YES
IND_197,Alabama,YES
IND_197,Alaska,YES
IND_197,Arizona,YES
IND_197,Arkansas,MODERATE
IND_197,California,MODERATE
IND_197,Colorado,Yes
IND_197,Connecticut,MODERATE
IND_197,Delaware,YES
IND_197,Florida,YES
IND_197,Georgia,MODERATE
IND_197,Hawaii,MODERATE
IND_197,Idaho,MODERATE
IND_197,Illinois,MODERATE
IND_197,Indiana,MODERATE
IND_197,Iowa,MODERATE
IND_197,Kansas,MODERATE
IND_197,Kentucky,MODERATE
IND_197,Louisiana,YES
IND_197,Maine,MODERATE
IND_197,Maryland,MODERATE
IND_197,Massachusetts,MODERATE
IND_197,Michigan,MODERATE
IND_197,Minnesota,MODERATE
IND_197,Mississippi,MODERATE
IND_197,Missouri,MODERATE
IND_197,Montana,MODERATE
IND_197,Nebraska,YES
IND_197,Nevada,MODERATE
IND_197,New Hampshire,YES
IND_197,New Jersey,MODERATE
IND_197,New Mexico,YES
IND_197,New York,MODERATE
IND_197,North Carolina,MODERATE
IND_197,North Dakota,YES
IND_197,Ohio,MODERATE
IND_197,Oklahoma,YES
IND_197,Oregon,YES
IND_197,Pennsylvania,MODERATE
IND_197,Rhode Island,YES
IND_197,South Carolina,MODERATE
IND_197,South Dakota,YES
IND_197,Tennessee,MODERATE
IND_197,Texas,MODERATE
IND_197,Utah,NO
IND_197,Vermont,MODERATE
IND_197,Virginia,MODERATE
IND_197,Washington,MODERATE
IND_197,West Virginia,YES
IND_197,Wisconsin,MODERATE
IND_197,Wyoming,YES
IND_198,Alabama,75
IND_198,Alaska,75
IND_198,Arizona,100
IND_198,Arkansas,50
IND_198,California,75
IND_198,Colorado,100
IND_198,Connecticut,75
IND_198,Delaware,100
IND_198,Florida,100
IND_198,Georgia,50
IND_198,Hawaii,25
IND_198,Idaho,50
IND_198,Illinois,100
IND_198,Indiana,75
IND_198,Iowa,100
IND_198,Kansas,100
IND_198,Kentucky,50
IND_198,Louisiana,50
IND_198,Maine,50
IND_198,Maryland,50
IND_198,Massachusetts,75
IND_198,Michigan,75
IND_198,Minnesota,50
IND_198,Mississippi,50
IND_198,Missouri,100
IND_198,Montana,50
IND_198,Nebraska,100
IND_198,Nevada,50
IND_198,New Hampshire,75
IND_198,New Jersey,75
IND_198,New Mexico,75
IND_198,New York,50
IND_198,North Carolina,100
IND_198,North Dakota,100
IND_198,Ohio,100
IND_198,Oklahoma,50
IND_198,Oregon,75
IND_198,Pennsylvania,50
IND_198,Rhode Island,50
IND_198,South Carolina,50
IND_198,South Dakota,100
IND_198,Tennessee,75
IND_198,Texas,50
IND_198,Utah,50
IND_198,Vermont,100
IND_198,Virginia,50
IND_198,Washington,50
IND_198,West Virginia,100
IND_198,Wisconsin,50
IND_198,Wyoming,75
IND_199,Alabama,YES
IND_199,Alaska,YES
IND_199,Arizona,MODERATE
IND_199,Arkansas,YES
IND_199,California,MODERATE
IND_199,Colorado,Yes
IND_199,Connecticut,MODERATE
IND_199,Delaware,MODERATE
IND_199,Florida,YES
IND_199,Georgia,YES
IND_199,Hawaii,MODERATE
IND_199,Idaho,YES
IND_199,Illinois,YES
IND_199,Indiana,YES
IND_199,Iowa,YES
IND_199,Kansas,YES
IND_199,Kentucky,YES
IND_199,Louisiana,YES
IND_199,Maine,YES
IND_199,Maryland,YES
IND_199,Massachusetts,YES
IND_199,Michigan,MODERATE
IND_199,Minnesota,YES
IND_199,Mississippi,YES
IND_199,Missouri,YES
IND_199,Montana,MODERATE
IND_199,Nebraska,YES
IND_199,Nevada,MODERATE
IND_199,New Hampshire,YES
IND_199,New Jersey,YES
IND_199,New Mexico,YES
IND_199,New York,MODERATE
IND_199,North Carolina,YES
IND_199,North Dakota,YES
IND_199,Ohio,MODERATE
IND_199,Oklahoma,YES
IND_199,Oregon,MODERATE
IND_199,Pennsylvania,MODERATE
IND_199,Rhode Island,YES
IND_199,South Carolina,YES
IND_199,South Dakota,MODERATE
IND_199,Tennessee,YES
