paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
newmark_2005	def_legislative_lobbying	legislative lobbying	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"the deﬁnitions component includes how many of the following seven criteria are deﬁned as lobbying in a state's statute: legislative lobbying" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:117	Variable named in paper; operational definition (what counts as 'legislative lobbying' for a given state) lives in The Book of the States — paper does not specify decision rule. BoS-defined.
newmark_2005	def_administrative_agency_lobbying	administrative agency lobbying	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"administrative agency lobbying, elected ofﬁcials as lobbyists" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:119	Variable named in paper; operational definition lives in The Book of the States. BoS-defined.
newmark_2005	def_elected_officials_as_lobbyists	elected officials as lobbyists	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"elected ofﬁcials as lobbyists, public employees as lobbyists" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:120	Variable named in paper; operational definition (whether elected officials' activity counts) lives in BoS. BoS-defined.
newmark_2005	def_public_employees_as_lobbyists	public employees as lobbyists	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"public employees as lobbyists, and whether there is a compensation standard" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:120	Variable named in paper; BoS-defined.
newmark_2005	def_compensation_standard	compensation standard	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"whether there is a compensation standard, expenditure standard, and time standard in the deﬁnition of lobbying" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:121	Variable named in paper; threshold values (dollar amounts, etc.) live in BoS — paper does not enumerate thresholds. BoS-defined.
newmark_2005	def_expenditure_standard	expenditure standard	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"compensation standard, expenditure standard, and time standard in the deﬁnition of lobbying" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:121	Variable named in paper; threshold values live in BoS. BoS-defined. Endnote 5 (line 847) reveals one definition component was 'constant across states' and removed for the 2003 reliability calc; paper does not say which one.
newmark_2005	def_time_standard	time standard	definitions	boolean	"Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise."	"expenditure standard, and time standard in the deﬁnition of lobbying. Each of these components is coded 1 if the state considers a given behavior as lobbying and 0 otherwise." papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:121	Variable named in paper; specific thresholds live in BoS. BoS-defined.
newmark_2005	freq_reporting_more_than_annual	frequency of reporting (more frequently than once per year)	frequency of reporting	boolean	"The frequency of reporting requirements was coded 1 for those states that required registration and reporting more frequently than once per year and 0 for those states reporting once per year or less."	"frequency of reporting requirements was coded 1 for those states that required registration and reporting more frequently than once per year and 0 for those states reporting once per year or less" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:125	Scoring rule fully specified in paper. Underlying registration/reporting frequency data sourced from BoS. Note: paper conflates 'registration and reporting' as a single frequency variable rather than treating them separately. Paper-defined coding rule; BoS data source.
newmark_2005	prohib_campaign_contrib_any_time	campaign contributions at any time	prohibited activities	boolean	"each of these categories was coded 1 or 0 depending on whether the state had such a requirement"	"Prohibited activities may include the following: campaign contributions at any time, campaign contributions during the legislative session" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:140	Variable named in paper. Whether the state 'has' such a prohibition is determined from BoS. BoS-defined.
newmark_2005	prohib_campaign_contrib_during_session	campaign contributions during the legislative session	prohibited activities	boolean	"each of these categories was coded 1 or 0 depending on whether the state had such a requirement"	"campaign contributions during the legislative session, expenditures in excess of a certain dollar amount per year" papers/text/Newmark_2005__state_lobbying_regulation_measure.txt:141	Variable named in paper. BoS-defined.
