paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
opheim_1991	index.total	Index of lobby regulation (composite of all 22 items)	(overall index)	numeric	The sum of all 22 items indicated the state's index score.	"The sum of all 22 items indicated the state's index score." [papers/text/Opheim_1991__state_lobby_regulation.txt:151]	Composite. Decomposes into the 3 sub-category sums (def.section_total, disclosure.section_total, enforce.section_total) which themselves decompose into the 22 atomic items below. Range 0-22. Table 1 caption shows observed range 0-18 across 47 states ("0 - weakest / 18 - strongest"). Data unavailable for Montana, South Dakota, Virginia.
opheim_1991	def.section_total	Statutory definition of a lobbyist (7 items)	Statutory definition of a lobbyist	numeric	Sum of seven 1/0 items below.	"(1) statutory definition of a lobbyist (seven items)" [papers/text/Opheim_1991__state_lobby_regulation.txt:92-93]	Composite (sub-aggregate). Decomposes into the 7 def.* items below. Each sub-item coded 1 if criterion is included in state's definition, 0 if not.
opheim_1991	def.legislative_lobbying	"legislative" lobbying as a criterion for definition	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"Only two states - Arkansas and Illinois which have no statutory designation of lobbyists - fail to include 'legislative' lobbying as a criterion for definition." [papers/text/Opheim_1991__state_lobby_regulation.txt:103-105]	Operational definition is from CSG Blue Book 1988-89 (Campaign Finance, Ethics and Lobby Law: Special Edition); Opheim does not give an explicit textual rule for what counts as "legislative lobbying." BoS-defined.
opheim_1991	def.administrative_lobbying	"administrative" lobbying as a criterion for definition	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"By contrast, thirty states fail to include 'administrative' lobbying as a criterion." [papers/text/Opheim_1991__state_lobby_regulation.txt:105-106]	Operational definition is from CSG Blue Book 1988-89; Opheim does not give an explicit textual rule. BoS-defined.
opheim_1991	def.elective_officials	"elective officials" designated as lobbyists	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"Seven states designate 'elective officials' as lobbyists" [papers/text/Opheim_1991__state_lobby_regulation.txt:106-107]	Coded as inclusion criterion for lobbyist definition. BoS-defined (CSG Blue Book 1988-89).
opheim_1991	def.public_employees	"public employees" designated as lobbyists	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"while seven others designate 'public employees.'" [papers/text/Opheim_1991__state_lobby_regulation.txt:107-108]	Coded as inclusion criterion for lobbyist definition. BoS-defined (CSG Blue Book 1988-89).
opheim_1991	def.compensation_standard	specific compensation standard to delineate lobbying activity	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"some states include specific compensation, expenditure, and time standards to delineate lobbying activity." [papers/text/Opheim_1991__state_lobby_regulation.txt:107-109]	Atomization call: Opheim names 3 "standards" in one phrase ("compensation, expenditure, and time"); paper explicitly says the 7 def items include these as separate criteria, so I split them. BoS-defined (CSG Blue Book 1988-89). Threshold values not specified by Opheim.
opheim_1991	def.expenditure_standard	specific expenditure standard to delineate lobbying activity	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"some states include specific compensation, expenditure, and time standards to delineate lobbying activity." [papers/text/Opheim_1991__state_lobby_regulation.txt:107-109]	Atomization call: separated from compensation/time standards in the same sentence. BoS-defined (CSG Blue Book 1988-89). Threshold values not specified.
opheim_1991	def.time_standard	specific time standard to delineate lobbying activity	Statutory definition of a lobbyist	boolean	"each coded 1 if a criterion was included in the state's definition of lobbyists and 0 if it was not"	"some states include specific compensation, expenditure, and time standards to delineate lobbying activity." [papers/text/Opheim_1991__state_lobby_regulation.txt:107-109]	Atomization call: separated from compensation/expenditure standards in the same sentence. BoS-defined (CSG Blue Book 1988-89). Threshold values not specified.
opheim_1991	disclosure.section_total	Frequency and quality of disclosure (8 items)	Frequency and quality of disclosure	numeric	Sum of one frequency item plus seven dichotomous information-category items.	"(2) frequency and quality of disclosure (eight items)" [papers/text/Opheim_1991__state_lobby_regulation.txt:93]	Composite (sub-aggregate). Decomposes into 1 frequency item + 7 information-category items below.
