"form_submission_id","reporting_year","reporting_period","principal_lobbyist","beneficial_client","contractual_client_name","current_period_compensation","type_of_lobbying_focus","focus_identifying_number","parties_lobbied"
"739173","2025","Jan/June","UPSTATE STRATEGIC ADVISORS, LLC","1,000 Islands Local Development Corporation;","1,000 Islands Local Development Corporation","10000","State Bill","Funding for multipurpose Event Center","Empire State Development (ESD)"
"730283","2025","Jan/June","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000",,,
"769976","2025","July/Dec","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000","Municipal Regulation/Rate-making/Rule","Agency Approvals","NYC Department of Environmental Protection (DEP)"
"769976","2025","July/Dec","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000","Municipal Regulation/Rate-making/Rule","Agency Approvals","NYC Department of Transportation (DOT)"
"769976","2025","July/Dec","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000","Municipal Regulation/Rate-making/Rule","Permits and approvals","NYC Department of Transportation (DOT)"
"769976","2025","July/Dec","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000","Municipal Regulation/Rate-making/Rule","Asbestos investigation","NYC Department of Environmental Protection (DEP)"
"769976","2025","July/Dec","KASIRER LLC","100 Flatbush Developer, LLC;","100 Flatbush Developer, LLC","15000","Municipal Regulation/Rate-making/Rule","Agency Approvals","NYC Department of Buildings (DOB)"
"737638","2025","Jan/June","Cojo Strategies LLC","100 Freedom Place South III LLC;","100 Freedom Place South III LLC","20000",,,
"773640","2025","July/Dec","Cojo Strategies LLC","100 Freedom Place South III LLC;","100 Freedom Place South III LLC","20000",,,
"773718","2025","Jan/June","Cojo Strategies LLC","100 Freedom Place South III LLC;","100 Freedom Place South III LLC","20000",,,
"737631","2025","Jan/June","Cojo Strategies LLC","100 Freedom Place South II LLC;","100 Freedom Place South II LLC","20000",,,
"773633","2025","July/Dec","Cojo Strategies LLC","100 Freedom Place South II LLC;","100 Freedom Place South II LLC","20000",,,
