item_id,category,item_text,data_type,pri_notes
Q1,Data availability,"At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).",binary,PRI 2010 §IV Q1.
Q2,Website existence,The state has a dedicated website for lobbying information.,binary,PRI 2010 §IV Q2. Likely obsolete for 2026 — flag for Phase 3.
Q3,Website identification,How easily a state's lobbying website can be found.,binary,"PRI 2010 §IV Q3 (footnote 92 in source). PRI does not define ""easily"" — flag for Phase 3."
Q4,Current data availability,At least some current lobbying data/information available on the website for the most recent year.,binary,PRI 2010 §IV Q4.
Q5,Historical data availability,"Historical lobbying information is available, downloadable, or at least viewable on the state's website.",binary,"PRI 2010 §IV Q5. ""Historical"" horizon not specified — flag for Phase 3."
Q6,Data format,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",binary,"PRI 2010 §IV Q6. 2010 treated CSV/Excel as gold standard; 2026 should reward bulk download / API access — flag for Phase 3."
Q7a,Sorting data,Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).,binary,"PRI 2010 §IV Q7. Q7 = 15 sub-criteria a–o; original PRI scoring weighted each at 1 point (sub-component max 15)."
Q7b,Sorting data,Can users specify data searches on the website by Principal's location (specific address; city).,binary,PRI 2010 §IV Q7.
Q7c,Sorting data,Can users specify data searches on the website by Lobbyist name.,binary,PRI 2010 §IV Q7.
Q7d,Sorting data,Can users specify data searches on the website by Lobbyist location (specific address; city).,binary,PRI 2010 §IV Q7.
Q7e,Sorting data,Can users specify data searches on the website by Specific date.,binary,PRI 2010 §IV Q7.
Q7f,Sorting data,Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).,binary,PRI 2010 §IV Q7.
Q7g,Sorting data,Can users specify data searches on the website by Total expenditures.,binary,PRI 2010 §IV Q7.
Q7h,Sorting data,Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).,binary,PRI 2010 §IV Q7.
Q7i,Sorting data,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,binary,PRI 2010 §IV Q7.
Q7j,Sorting data,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,binary,PRI 2010 §IV Q7.
Q7k,Sorting data,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,binary,PRI 2010 §IV Q7.
Q7l,Sorting data,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,binary,PRI 2010 §IV Q7.
Q7m,Sorting data,"Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).",binary,PRI 2010 §IV Q7.
Q7n,Sorting data,"Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).",binary,PRI 2010 §IV Q7.
Q7o,Sorting data,"Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).",binary,PRI 2010 §IV Q7.
Q8,Simultaneous sorting,Users can simultaneously sort lobbying data by multiple criteria.,ordinal_0_to_15,"PRI 2010 §IV Q8. Original PRI raw 0–15 then divided by 15 to a 0–1 sub-score; the 0–15 rubric is not specified in the paper — flag for Phase 3."
