name,categories/0/number,categories/0/name,categories/0/score,categories/0/rank,categories/1/number,categories/1/name,categories/1/score,categories/1/rank,categories/2/number,categories/2/name,categories/2/score,categories/2/rank,categories/3/number,categories/3/name,categories/3/score,categories/3/rank,categories/4/number,categories/4/name,categories/4/score,categories/4/rank,categories/5/number,categories/5/name,categories/5/score,categories/5/rank,categories/6/number,categories/6/name,categories/6/score,categories/6/rank,categories/7/number,categories/7/name,categories/7/score,categories/7/rank,categories/8/number,categories/8/name,categories/8/score,categories/8/rank,categories/9/number,categories/9/name,categories/9/score,categories/9/rank,categories/10/number,categories/10/name,categories/10/score,categories/10/rank,categories/11/number,categories/11/name,categories/11/score,categories/11/rank,categories/12/number,categories/12/name,categories/12/score,categories/12/rank,score,grade,rank
Alabama,1,Public Access to Information,40.6,33,2,Political Financing,41.5,42,3,Electoral Oversight,66,27,4,Executive Accountability,81.9,2,5,Legislative Accountability,75.2,4,6,Judicial Accountability,61.8,12,7,State Budget Processes,71.2,33,8,State Civil Service Management,66,11,9,Procurement,65.4,35,10,Internal Auditing,86.8,4,11,Lobbying Disclosure,66.3,20,12,Ethics Enforcement Agencies,73,4,13,State Pension Fund Management,78.8,7,67.3,D+,7
Alaska,1,Public Access to Information,37.5,34,2,Political Financing,88.2,2,3,Electoral Oversight,69.4,23,4,Executive Accountability,88.5,1,5,Legislative Accountability,82.7,1,6,Judicial Accountability,81.7,1,7,State Budget Processes,78.6,19,8,State Civil Service Management,67.5,9,9,Procurement,73.8,19,10,Internal Auditing,82.6,17,11,Lobbying Disclosure,97.5,1,12,Ethics Enforcement Agencies,77.8,3,13,State Pension Fund Management,62.5,27,76,C,1
Arizona,1,Public Access to Information,48.8,20,2,Political Financing,61,26,3,Electoral Oversight,73.6,12,4,Executive Accountability,57.8,31,5,Legislative Accountability,67.3,14,6,Judicial Accountability,76.8,2,7,State Budget Processes,64.8,44,8,State Civil Service Management,55.2,39,9,Procurement,76.7,12,10,Internal Auditing,86.8,4,11,Lobbying Disclosure,53.8,40,12,Ethics Enforcement Agencies,57.3,27,13,State Pension Fund Management,47.9,44,63.7,D,22
Arkansas,1,Public Access to Information,52.2,16,2,Political Financing,55.3,30,3,Electoral Oversight,62.5,29,4,Executive Accountability,60.3,26,5,Legislative Accountability,50.1,46,6,Judicial Accountability,62.5,9,7,State Budget Processes,83.4,15,8,State Civil Service Management,59.4,28,9,Procurement,70,22,10,Internal Auditing,63.2,47,11,Lobbying Disclosure,55.8,35,12,Ethics Enforcement Agencies,66.5,10,13,State Pension Fund Management,55,37,61.2,D-,32
California,1,Public Access to Information,43.8,28,2,Political Financing,71,10,3,Electoral Oversight,71.5,17,4,Executive Accountability,73,5,5,Legislative Accountability,70.3,11,6,Judicial Accountability,57.8,20,7,State Budget Processes,90.6,6,8,State Civil Service Management,67.4,10,9,Procurement,71.7,21,10,Internal Auditing,81.3,25,11,Lobbying Disclosure,87.9,2,12,Ethics Enforcement Agencies,73,4,13,State Pension Fund Management,93.8,2,73.3,C-,2
Colorado,1,Public Access to Information,37.5,34,2,Political Financing,66.3,19,3,Electoral Oversight,76.4,8,4,Executive Accountability,68.6,14,5,Legislative Accountability,75.8,3,6,Judicial Accountability,66.2,6,7,State Budget Processes,88.8,9,8,State Civil Service Management,61.9,22,9,Procurement,77.1,10,10,Internal Auditing,82.6,17,11,Lobbying Disclosure,64.2,22,12,Ethics Enforcement Agencies,41.9,44,13,State Pension Fund Management,60.4,32,66.7,D+,13
Connecticut,1,Public Access to Information,58.8,7,2,Political Financing,72.4,8,3,Electoral Oversight,72.2,15,4,Executive Accountability,64.3,18,5,Legislative Accountability,72.2,7,6,Judicial Accountability,49.2,41,7,State Budget Processes,88,10,8,State Civil Service Management,60.8,23,9,Procurement,68.3,27,10,Internal Auditing,74.3,41,11,Lobbying Disclosure,78.3,3,12,Ethics Enforcement Agencies,63.7,14,13,State Pension Fund Management,95,1,70.6,C-,3
Delaware,1,Public Access to Information,45.6,24,2,Political Financing,59,27,3,Electoral Oversight,69.4,23,4,Executive Accountability,56,36,5,Legislative Accountability,48.7,48,6,Judicial Accountability,46.2,46,7,State Budget Processes,65.1,42,8,State Civil Service Management,54.3,43,9,Procurement,66.3,31,10,Internal Auditing,72.9,43,11,Lobbying Disclosure,56.2,34,12,Ethics Enforcement Agencies,45,43,13,State Pension Fund Management,36.7,48,55.5,F,48
Florida,1,Public Access to Information,50.6,17,2,Political Financing,58.7,28,3,Electoral Oversight,50,46,4,Executive Accountability,67.4,16,5,Legislative Accountability,76.9,2,6,Judicial Accountability,51.2,38,7,State Budget Processes,57.3,48,8,State Civil Service Management,50.1,50,9,Procurement,68.8,25,10,Internal Auditing,85.4,10,11,Lobbying Disclosure,54.6,38,12,Ethics Enforcement Agencies,62.3,17,13,State Pension Fund Management,65,22,61.4,D-,30
Georgia,1,Public Access to Information,43.8,28,2,Political Financing,45.3,38,3,Electoral Oversight,72.9,14,4,Executive Accountability,58.8,29,5,Legislative Accountability,73,6,6,Judicial Accountability,60.5,15,7,State Budget Processes,66.6,39,8,State Civil Service Management,64.8,14,9,Procurement,63.8,38,10,Internal Auditing,88.2,2,11,Lobbying Disclosure,49.6,46,12,Ethics Enforcement Agencies,60.3,21,13,State Pension Fund Management,69.6,18,62.8,D-,24
