id	name	source_state	classification	legal_form	sector	contact_details_json
NY-client-1-000-islands-local-development-corporation	1,000 Islands Local Development Corporation	NY				[]
NY-client-1-10-bush-terminal-owner-lp	1-10 BUSH TERMINAL OWNER LP	NY				[]
NY-client-1-800-contacts-inc	1-800 CONTACTS, INC.	NY				[]
NY-client-1-a-lifesafer-inc	#1 A LifeSafer, Inc.	NY				[]
NY-client-1-a-smart-start-llc	1 A Smart Start LLC	NY				[]
NY-client-1-java-owner-llc	1 Java Owner LLC	NY				[]
NY-client-1-st-technology-llc	1/ST Technology LLC	NY				[]
NY-client-100-flatbush-developer-llc	100 Flatbush Developer, LLC	NY				[]
NY-client-100-freedom-place-south-i-llc	100 Freedom Place South I LLC	NY				[]
NY-client-100-freedom-place-south-ii-llc	100 Freedom Place South II LLC	NY				[]
NY-client-100-freedom-place-south-iii-llc	100 Freedom Place South III LLC	NY				[]
NY-client-1039-gun-hill-road-i-llc	1039 Gun Hill Road I LLC	NY				[]
NY-client-1039-gun-hill-road-ii-llc	1039 Gun Hill Road II LLC	NY				[]
NY-client-1039-gun-hill-road-iii-llc	1039 Gun Hill Road III LLC	NY				[]
NY-client-108-realty-group-inc	108 Realty Group Inc.	NY				[]
NY-client-110-william-property-investors-iii-llc	110 WILLIAM PROPERTY INVESTORS III, LLC	NY				[]
NY-client-1160-1178-pugsley-avenue-llc	1160-1178 Pugsley Avenue LLC	NY				[]
NY-client-1199-seiu-greater-new-york-worker-participation-fund-inc	1199/SEIU GREATER NEW YORK WORKER PARTICIPATION FUND, INC.	NY				[]
NY-client-1199-seiu-united-healthcare-workers-east	1199 SEIU UNITED HEALTHCARE WORKERS EAST	NY				[]
NY-client-1199seiu-labor-management-initiatives-inc-healthcare-education-project	1199SEIU Labor Management Initiatives, Inc. Healthcare Education Project	NY				[]
NY-client-11th-avenue-automobile-realty-llc	11th Avenue Automobile Realty, LLC	NY				[]
NY-client-120-east-16th-street-co-llc	120 East 16th Street Co. LLC	NY				[]
NY-client-120-jv-acq-llc	120 JV ACQ LLC	NY				[]
NY-client-125-mec-center-llc	125 MEC CENTER LLC	NY				[]
NY-client-1289-lexington-condominium	1289 Lexington Condominium	NY				[]
NY-client-14-10-beach-llc	14-10 Beach LLC	NY				[]
NY-client-1417-avenue-u-holding-llc	1417 Avenue U Holding LLC	NY				[]
NY-client-142-green-street-llc	142 Green Street LLC	NY				[]
NY-client-144-bam-llc	144 BAM LLC	NY				[]
NY-client-148tsp-llc	148TSP LLC	NY				[]
NY-client-15-nox-llc	15 Nox LLC	NY				[]
NY-client-1500-waters-place-realty-llc-1200-zerega-realty-llc-1480-sheridan-realty-llc-west-farms-realty-llc-hutch-realty-partners-llc-1776-eastchester-realty-llc-md-hutch-owner-llc-459-east-149-street-realty-llc	1500 WATERS PLACE REALTY LLC; 1200 ZEREGA REALTY LLC; 1480 SHERIDAN REALTY LLC; West Farms Realty LLC; HUTCH REALTY PARTNERS LLC; 1776 EASTCHESTER REALTY LLC; MD HUTCH OWNER LLC; 459 East 149 Street Realty LLC	NY				[]
NY-client-1500-waters-place-realty-llc-sdc-hudson-valley-realty-llc-sdc-new-windsor-realty-llc-hutch-management-llc	1500 WATERS PLACE REALTY LLC; SDC HUDSON VALLEY REALTY LLC; SDC NEW WINDSOR REALTY LLC; HUTCH MANAGEMENT LLC	NY				[]
NY-client-1551-broadway-owner-llc	1551 Broadway Owner LLC	NY				[]
NY-client-156-166-bowery-lp	156-166 Bowery LP	NY				[]
NY-client-1571-development-lcc	1571 DEVELOPMENT, LCC	NY				[]
NY-client-165-25-union-tpke-llc	165-25 Union Tpke LLC	NY				[]
NY-client-17-state-owner-llc	17 State Owner LLC	NY				[]
NY-client-19-20-bush-terminal-owner-lp	19-20 BUSH TERMINAL OWNER, LP	NY				[]
NY-client-2-forest-park-lane-llc	2 Forest Park Lane, LLC	NY				[]
NY-client-201-east-23rd-street-tenant-llc	201 East 23rd Street Tenant LLC	NY				[]
NY-client-2015-monterey-avenue-llc	2015 Monterey Avenue LLC	NY				[]
NY-client-206-kent-investor-llc	206 Kent Investor LLC	NY				[]
NY-client-211-frant-llc	211 FRANT, LLC	NY				[]
NY-client-211-west-84th-st-owner-llc	211 WEST 84TH ST OWNER LLC	NY				[]
NY-client-2185-coyle-street-associates-llc	2185 Coyle Street Associates LLC	NY				[]
NY-client-22-50-jackson-avenue-associates-l-p	22-50 JACKSON AVENUE ASSOCIATES L.P.	NY				[]
NY-client-22-w-fountain-llc	22 W Fountain LLC	NY				[]
