filing_id	lobbyist_id	client_id	bill_id	bill_print_version	comp_per_bill	filing_compensation	n_bills_in_filing	reporting_year	reporting_period
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A1668	A1668	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A4639	A4639	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A5527	A5527	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A5767	A5767	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A7191	A7191	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A8417	A8417	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A8642	A8642	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	A8801	A8801	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S3607	S3607	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S4581	S4581	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S4726	S4726	441.18	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S5255	S5255	441.17	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S5868	S5868	441.17	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S8096	S8096	441.17	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S8157	S8157	441.17	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S8181	S8181	441.17	7500	17	2025	Jan/June
677698	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	S8207	S8207	441.17	7500	17	2025	Jan/June
678002	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-bamboo-health-inc	A8849	A8849	48000	48000	1	2025	Jan/June
678357	NY-lobbyist-ostroff-associates-inc	NY-client-northville-central-school-district	A3006	A3006	6000	24000	4	2025	Jan/June
678357	NY-lobbyist-ostroff-associates-inc	NY-client-northville-central-school-district	A3006-B	A3006-B	6000	24000	4	2025	Jan/June
678357	NY-lobbyist-ostroff-associates-inc	NY-client-northville-central-school-district	S3006	S3006	6000	24000	4	2025	Jan/June
678357	NY-lobbyist-ostroff-associates-inc	NY-client-northville-central-school-district	S3006-B	S3006-B	6000	24000	4	2025	Jan/June
680028	NY-lobbyist-robert-a-ungar-associates	NY-client-westchester-county-correction-officers-benevolent-association	A6761	A6761	3750	15000	4	2025	Jan/June
680028	NY-lobbyist-robert-a-ungar-associates	NY-client-westchester-county-correction-officers-benevolent-association	S4890	S4890	3750	15000	4	2025	Jan/June
680028	NY-lobbyist-robert-a-ungar-associates	NY-client-westchester-county-correction-officers-benevolent-association	S5761	S5761	3750	15000	4	2025	Jan/June
680028	NY-lobbyist-robert-a-ungar-associates	NY-client-westchester-county-correction-officers-benevolent-association	S7728	S7728	3750	15000	4	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	A2002	A2002	6500	39000	6	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	A3003	A3003	6500	39000	6	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	A3007	A3007	6500	39000	6	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	S2002	S2002	6500	39000	6	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	S3003	S3003	6500	39000	6	2025	Jan/June
681533	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	S3007	S3007	6500	39000	6	2025	Jan/June
683626	NY-lobbyist-greenberg-traurig-llp	NY-client-rising-ground-inc	A8682	A8682	3125	6250	2	2025	Jan/June
683626	NY-lobbyist-greenberg-traurig-llp	NY-client-rising-ground-inc	S8273	S8273	3125	6250	2	2025	Jan/June
683802	NY-lobbyist-the-parkside-group-llc	NY-client-elevator-industries-association-inc-the	A8032	A8032	15600	31200	2	2025	Jan/June
683802	NY-lobbyist-the-parkside-group-llc	NY-client-elevator-industries-association-inc-the	S7944-A	S7944-A	15600	31200	2	2025	Jan/June
685030	NY-lobbyist-carlucci-llc	NY-client-american-kratom-association	A2340	A2340	4875	39000	8	2025	Jan/June
685030	NY-lobbyist-carlucci-llc	NY-client-american-kratom-association	A2699	A2699	4875	39000	8	2025	Jan/June
685030	NY-lobbyist-carlucci-llc	NY-client-american-kratom-association	A4034	A4034	4875	39000	8	2025	Jan/June
