filing_id	id	state	filing_type	filer_role	reporting_year	reporting_period	lobbyist_id	client_id	total_compensation
677698	NY-filing-677698-meringolo-group-inc-suffolk-county-court-employees-association-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-meringolo-group-inc	NY-client-suffolk-county-court-employees-association-inc	7500
678002	NY-filing-678002-brown-weinraub-advisors-llc-bamboo-health-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-bamboo-health-inc	48000
678280	NY-filing-678280-jenkins-patrick-b-associates-southside-jq-member-llc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-jenkins-patrick-b-associates	NY-client-southside-jq-member-llc	36000
678357	NY-filing-678357-ostroff-associates-inc-northville-central-school-district	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-ostroff-associates-inc	NY-client-northville-central-school-district	24000
680028	NY-filing-680028-robert-a-ungar-associates-westchester-county-correction-officers-benevolent-association	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-robert-a-ungar-associates	NY-client-westchester-county-correction-officers-benevolent-association	15000
680127	NY-filing-680127-brown-weinraub-advisors-llc-servicenow-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-servicenow-inc	42000
681533	NY-filing-681533-brown-weinraub-advisors-llc-central-nassau-guidance-and-counseling-services-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-central-nassau-guidance-and-counseling-services-inc	39000
682278	NY-filing-682278-law-office-of-domenic-m-recchia-jr-federation-of-italian-american-organizations-of-brooklyn-ltd	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-law-office-of-domenic-m-recchia-jr	NY-client-federation-of-italian-american-organizations-of-brooklyn-ltd	27000
682278	NY-filing-682278-yoswein-new-york-inc-federation-of-italian-american-organizations-of-brooklyn-ltd	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-yoswein-new-york-inc	NY-client-federation-of-italian-american-organizations-of-brooklyn-ltd	27500
683584	NY-filing-683584-masiello-martucci-hughes-rosina-food-products-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-masiello-martucci-hughes	NY-client-rosina-food-products-inc	18000
683626	NY-filing-683626-greenberg-traurig-llp-rising-ground-inc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-greenberg-traurig-llp	NY-client-rising-ground-inc	6250
683802	NY-filing-683802-the-parkside-group-llc-elevator-industries-association-inc-the	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-the-parkside-group-llc	NY-client-elevator-industries-association-inc-the	31200
684423	NY-filing-684423-empire-strategies-dominican-university-new-york	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-empire-strategies	NY-client-dominican-university-new-york	58800
684495	NY-filing-684495-the-parkside-group-llc-equity-residential	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-the-parkside-group-llc	NY-client-equity-residential	30000
684799	NY-filing-684799-brown-weinraub-advisors-llc-advancing-the-future-of-younger-generations-llc	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-brown-weinraub-advisors-llc	NY-client-advancing-the-future-of-younger-generations-llc	45000
685030	NY-filing-685030-carlucci-llc-american-kratom-association	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-carlucci-llc	NY-client-american-kratom-association	39000
685553	NY-filing-685553-harter-secrest-emery-llp-public-adjusters-association-ny	NY	expenditure_report	firm	2025	Jan/June	NY-lobbyist-harter-secrest-emery-llp	NY-client-public-adjusters-association-ny	18000
