id	name	source_state	classification	legal_form	sector	contact_details_json
NY-lobbyist-1199-seiu-united-healthcare-workers-east	1199 SEIU UNITED HEALTHCARE WORKERS EAST	NY				[]
NY-lobbyist-1199seiu-labor-management-initiatives-inc-healthcare-education-project	1199SEIU Labor Management Initiatives, Inc. Healthcare Education Project	NY				[]
NY-lobbyist-32bj-labor-industry-cooperation-trust-fund	32BJ Labor Industry Cooperation Trust Fund	NY				[]
NY-lobbyist-50-state-strategies-llc	50 State Strategies LLC	NY				[]
NY-lobbyist-99-solutions-llc	99 SOLUTIONS, LLC	NY				[]
NY-lobbyist-a16z-capital-management-l-l-c	a16z Capital Management, L.L.C.	NY				[]
NY-lobbyist-aaa-new-york-state-inc	AAA NEW YORK STATE, INC.	NY				[]
NY-lobbyist-aarp	AARP	NY				[]
NY-lobbyist-ab-carval-investors-lp	AB CarVal Investors, LP	NY				[]
NY-lobbyist-abbvie-inc	ABBVIE INC.	NY				[]
NY-lobbyist-abraham-crown-associates-llc	ABRAHAM CROWN & ASSOCIATES, LLC.	NY				[]
NY-lobbyist-accabonac-strategies-llc	ACCABONAC STRATEGIES LLC	NY				[]
NY-lobbyist-accenture-llp	ACCENTURE, LLP	NY				[]
NY-lobbyist-actis-gp-llp	ACTIS GP LLP	NY				[]
NY-lobbyist-actum-ca-opco-llc	Actum CA Opco, LLC	NY				[]
NY-lobbyist-actum-ii-llc	Actum II, LLC	NY				[]
NY-lobbyist-addie-a-e-jenne-esq	Addie A. E. Jenne, Esq.	NY				[]
NY-lobbyist-adirondack-mountain-club-inc	ADIRONDACK MOUNTAIN CLUB, INC.	NY				[]
NY-lobbyist-adirondack-north-country-association-inc	Adirondack North Country Association, Inc.	NY				[]
NY-lobbyist-adult-day-health-care-council-inc	ADULT DAY HEALTH CARE COUNCIL, INC.	NY				[]
NY-lobbyist-advance-group-inc	ADVANCE GROUP, INC.	NY				[]
NY-lobbyist-advanced-energy-united	Advanced Energy United	NY				[]
NY-lobbyist-advanced-medical-technology-association	ADVANCED MEDICAL TECHNOLOGY ASSOCIATION	NY				[]
NY-lobbyist-advocates-for-children-of-new-york-inc	ADVOCATES FOR CHILDREN OF NEW YORK, INC.	NY				[]
NY-lobbyist-advocates-for-justice-chartered-attorneys	Advocates for Justice, Chartered Attorneys	NY				[]
NY-lobbyist-african-communities-together-inc	AFRICAN COMMUNITIES TOGETHER, INC.	NY				[]
NY-lobbyist-afscme-international	AFSCME INTERNATIONAL	NY				[]
NY-lobbyist-agallas-equities-llc	AGALLAS EQUITIES, LLC	NY				[]
NY-lobbyist-ags-government-affairs-llc	AGS GOVERNMENT AFFAIRS LLC	NY				[]
NY-lobbyist-agudath-israel-of-america	AGUDATH ISRAEL OF AMERICA	NY				[]
NY-lobbyist-ahern-barbara-joan	AHERN, BARBARA JOAN	NY				[]
NY-lobbyist-ahrc-nyc	AHRC NYC	NY				[]
NY-lobbyist-aia-new-york-state-inc	AIA NEW YORK STATE, INC.	NY				[]
NY-lobbyist-airbnb-inc	AIRBNB, INC.	NY				[]
NY-lobbyist-ajw-energy-and-environmental-strategies	AJW ENERGY AND ENVIRONMENTAL STRATEGIES	NY				[]
NY-lobbyist-akerman-llp	AKERMAN LLP	NY				[]
NY-lobbyist-albany-strategic-advisors-llc	ALBANY STRATEGIC ADVISORS, LLC	NY				[]
NY-lobbyist-alexion-pharmaceuticals-inc	ALEXION PHARMACEUTICALS, INC.	NY				[]
NY-lobbyist-align-the-alliance-for-a-greater-new-york-inc	ALIGN: The Alliance for a Greater New York, Inc.	NY				[]
NY-lobbyist-alkermes-inc	ALKERMES, INC.	NY				[]
NY-lobbyist-all-american-homecare-agency	All American Homecare Agency	NY				[]
NY-lobbyist-allen-norman-roskoff	Allen Norman Roskoff	NY				[]
NY-lobbyist-alliance-for-a-green-economy-inc	ALLIANCE FOR A GREEN ECONOMY, INC	NY				[]
NY-lobbyist-alliance-for-american-manufacturing	ALLIANCE FOR AMERICAN MANUFACTURING	NY				[]
NY-lobbyist-alliance-for-automotive-innovation	Alliance for Automotive Innovation	NY				[]
NY-lobbyist-alliance-for-clean-energy-new-york-inc	ALLIANCE FOR CLEAN ENERGY NEW YORK, INC.	NY				[]
NY-lobbyist-alliance-for-downtown-new-york-inc	ALLIANCE FOR DOWNTOWN NEW YORK, INC.	NY				[]
NY-lobbyist-alliance-for-quality-education-inc	ALLIANCE FOR QUALITY EDUCATION, INC.	NY				[]
NY-lobbyist-alliance-for-rights-and-recovery-inc	ALLIANCE FOR RIGHTS AND RECOVERY, INC.	NY				[]
NY-lobbyist-alliance-of-new-york-state-ymcas-inc-the	ALLIANCE OF NEW YORK STATE YMCAS, INC. (THE)	NY				[]
NY-lobbyist-alliance-to-prevent-legionnaires-disease-inc	ALLIANCE TO PREVENT LEGIONNAIRES' DISEASE, INC.	NY				[]
NY-lobbyist-alliance-to-protect-home-care-inc	ALLIANCE TO PROTECT HOME CARE, INC.	NY				[]
NY-lobbyist-alliancebernstein-l-p	ALLIANCEBERNSTEIN L.P.	NY				[]
NY-lobbyist-allied-government-affairs-llc	Allied Government Affairs, LLC	NY				[]
NY-lobbyist-allstate-insurance-company	ALLSTATE INSURANCE COMPANY	NY				[]
NY-lobbyist-alpha-strategic-planning-corp	ALPHA STRATEGIC PLANNING CORP.	NY				[]
NY-lobbyist-alstom-transportation-inc	ALSTOM TRANSPORTATION INC.	NY				[]
NY-lobbyist-alternate-side-of-the-street-suspended-parking-calendar-corporation-dba-parkingticket-com	ALTERNATE SIDE OF THE STREET SUSPENDED PARKING CALENDAR CORPORATION DBA PARKINGTICKET.COM	NY				[]
NY-lobbyist-altria-client-services-llc-and-its-affiliates	ALTRIA CLIENT SERVICES LLC. AND ITS AFFILIATES	NY				[]
NY-lobbyist-alzheimer-s-disease-and-related-disorders-association-inc	Alzheimer’s Disease and Related Disorders Association, Inc.	NY				[]
NY-lobbyist-amazon-com-services-llc	AMAZON.COM SERVICES LLC	NY				[]
NY-lobbyist-american-bakers-association	American Bakers Association	NY				[]
NY-lobbyist-american-beverage-association	AMERICAN BEVERAGE ASSOCIATION	NY				[]
NY-lobbyist-american-cancer-society-cancer-action-network-inc	AMERICAN CANCER SOCIETY CANCER ACTION NETWORK, INC	NY				[]
NY-lobbyist-american-chemistry-council-inc	AMERICAN CHEMISTRY COUNCIL, INC.	NY				[]
NY-lobbyist-american-college-of-emergency-physicians-ny-chapter	AMERICAN COLLEGE OF EMERGENCY PHYSICIANS (NY CHAPTER)	NY				[]
NY-lobbyist-american-college-of-obstetricians-and-gynecologists-district-ii	AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS, DISTRICT II	NY				[]
NY-lobbyist-american-council-of-engineering-companies-of-new-york-inc	AMERICAN COUNCIL OF ENGINEERING COMPANIES OF NEW YORK, INC.	NY				[]
NY-lobbyist-american-diabetes-association	American Diabetes Association	NY				[]
NY-lobbyist-american-heart-association-inc	AMERICAN HEART ASSOCIATION, INC.	NY				[]
NY-lobbyist-american-hotel-lodging-association	American Hotel & Lodging Association	NY				[]
NY-lobbyist-american-international-group-inc	AMERICAN INTERNATIONAL GROUP, INC.	NY				[]
NY-lobbyist-american-legal-finance-association-inc	AMERICAN LEGAL FINANCE ASSOCIATION, INC.	NY				[]
NY-lobbyist-american-national-red-cross	AMERICAN NATIONAL RED CROSS	NY				[]
NY-lobbyist-american-petroleum-institute	AMERICAN PETROLEUM INSTITUTE	NY				[]
NY-lobbyist-american-property-casualty-insurance-association	AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION	NY				[]
NY-lobbyist-american-racing-and-entertainment-llc	AMERICAN RACING AND ENTERTAINMENT, LLC	NY				[]
NY-lobbyist-american-spice-trade-association	American Spice Trade Association	NY				[]
NY-lobbyist-american-waterways-operators-the	AMERICAN WATERWAYS OPERATORS (THE)	NY				[]
NY-lobbyist-americans-for-food-and-beverage-choice	Americans for Food and Beverage Choice	NY				[]
NY-lobbyist-amgen-inc	AMGEN, INC.	NY				[]
NY-lobbyist-amida-care-inc	AMIDA CARE INC.	NY				[]
NY-lobbyist-amrize-north-america-inc	Amrize North America, Inc.	NY				[]
NY-lobbyist-anheuser-busch-companies-inc	ANHEUSER-BUSCH COMPANIES, INC.	NY				[]
NY-lobbyist-animal-legal-defense-fund	Animal Legal Defense Fund	NY				[]
NY-lobbyist-anne-reynolds	Anne Reynolds	NY				[]
NY-lobbyist-anthropic-pbc	Anthropic PBC	NY				[]
NY-lobbyist-anti-defamation-league	ANTI-DEFAMATION LEAGUE	NY				[]
