report_period	filing_id	principal_name	principal_id	lobbyist_name	lobbyist_id	position_kind	bill_label_raw	bill_label_normalized	bill_class	bill_id	bill_title	position_description	num_primary_sponsors	sponsor_lawmaker_id	sponsor_lawmaker_name	sponsor_role	confidence
2025-01-01..2025-04-30	20250314EUPA1394434	Ohio Poverty Law Center	org-ohio-poverty-law-center	Susan M Jagers	person-susan-m-jagers	subject_general	Public Safety	Public Safety	subject			implementation of HB 29	0				subject_only
2025-01-01..2025-04-30	20250314EUPA1394434	Ohio Poverty Law Center	org-ohio-poverty-law-center	Susan M Jagers	person-susan-m-jagers	subject_general	Aging	Aging	subject			Background checks for legal service providers	0				subject_only
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 78	HB 78	bill	ocd-bill/c026470f-37f0-4b7d-9cc2-bd0965f5edb5	Authorize use of a digital driver's license or state ID card	Authorize use of a digital driver's license or state ID card	2	ocd-person/7948afad-ec3c-4e4c-a073-305fb8cd1b21	Thomas Hall	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 78	HB 78	bill	ocd-bill/c026470f-37f0-4b7d-9cc2-bd0965f5edb5	Authorize use of a digital driver's license or state ID card	Authorize use of a digital driver's license or state ID card	2	ocd-person/9b5a9ff9-b35a-49aa-aa64-5d2bab574843	Joseph A. Miller, III	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 180	HB 180	bill	ocd-bill/3f7990be-cbe9-499d-9e0b-81d2927701d4	Bar adverse employment action against precinct election officials	Bar adverse employment action against precinct election officials	2	ocd-person/bfe003c4-6a28-46d6-b831-07bfe8662926	Elgin Rogers, Jr.	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 180	HB 180	bill	ocd-bill/3f7990be-cbe9-499d-9e0b-81d2927701d4	Bar adverse employment action against precinct election officials	Bar adverse employment action against precinct election officials	2	ocd-person/73e72147-0d40-4478-bbf6-3419f0e00b46	Roy Klopfenstein	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 233	HB 233	bill	ocd-bill/783cf10d-f2a3-49e0-ad2f-a0be2aef0a49	Require elector citizenship verification; revise election law	Require elector citizenship verification; revise election law	2	ocd-person/cb2ddd04-e5b0-4c96-b217-d02b732eb896	D. J. Swearingen	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 233	HB 233	bill	ocd-bill/783cf10d-f2a3-49e0-ad2f-a0be2aef0a49	Require elector citizenship verification; revise election law	Require elector citizenship verification; revise election law	2	ocd-person/60fdc824-a8ab-44fa-80ca-053d8698218e	Jeff LaRe	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 4	SB 4	bill	ocd-bill/b9fdc1f6-62b8-465e-83c7-c941b7bb2f38	Create Election Integrity Unit; revise election law prosecution	Create Election Integrity Unit; revise election law prosecution	1	ocd-person/0fe32749-fe89-4f96-87d3-3d831bea2459	Theresa Gavarone	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 63	SB 63	bill	ocd-bill/81ad4c68-9a26-4a8c-a5da-55e94c1cda7c	Prohibit use of ranked choice voting; withhold funding for use	Prohibit use of ranked choice voting; withhold funding for use	2	ocd-person/bdc3493a-a22f-4a6b-b50e-b590216d8cfd	William P. DeMora	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 63	SB 63	bill	ocd-bill/81ad4c68-9a26-4a8c-a5da-55e94c1cda7c	Prohibit use of ranked choice voting; withhold funding for use	Prohibit use of ranked choice voting; withhold funding for use	2	ocd-person/0fe32749-fe89-4f96-87d3-3d831bea2459	Theresa Gavarone	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 153	SB 153	bill	ocd-bill/0e6e284b-e99e-4789-843f-a709543a8df6	Require citizenship verification before an elector may vote	Require citizenship verification before an elector may vote	2	ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578	Andrew O. Brenner	primary	direct
2025-01-01..2025-04-30	20250505LUPA1394956	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 153	SB 153	bill	ocd-bill/0e6e284b-e99e-4789-843f-a709543a8df6	Require citizenship verification before an elector may vote	Require citizenship verification before an elector may vote	2	ocd-person/0fe32749-fe89-4f96-87d3-3d831bea2459	Theresa Gavarone	primary	direct
2025-01-01..2025-04-30	20250505LUPA1395368	Carvana	org-carvana	Collin Crigger	person-collin-crigger	bill_referenced	HB 54	HB 54	bill	ocd-bill/03729a21-e915-43b7-a8c6-758bf3753c6c	Make appropriations for transportation for FY 2026-27 biennium	Make appropriations for transportation for FY 2026-27 biennium	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250505LUPA1395368	Carvana	org-carvana	Collin Crigger	person-collin-crigger	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396330	Columbus Crew SC	org-columbus-crew-sc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396330	Columbus Crew SC	org-columbus-crew-sc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 147	HB 147	bill	ocd-bill/93828d4b-3709-41db-97ed-711397129abb	Exempt from sales and use tax certain port authority materials	Exempt from sales and use tax certain port authority materials	1	ocd-person/a3ccce64-ea28-47dc-8bab-3af6ed2dd860	Brian Lorenz	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396330	Columbus Crew SC	org-columbus-crew-sc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 150	SB 150	bill	ocd-bill/819b256d-3891-429c-8d7c-53fdc109c420	Increase sports gaming tax; allocate for athletics, sports venues	Increase sports gaming tax; allocate for athletics, sports venues	1	ocd-person/5a9b2a16-6827-4e00-961a-f3de39538749	Louis W. Blessing, III	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396376	Cleveland Browns	org-cleveland-browns	Andrew Minton	person-andrew-minton	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396376	Cleveland Browns	org-cleveland-browns	Andrew Minton	person-andrew-minton	bill_referenced	HB 147	HB 147	bill	ocd-bill/93828d4b-3709-41db-97ed-711397129abb	Exempt from sales and use tax certain port authority materials	Exempt from sales and use tax certain port authority materials	1	ocd-person/a3ccce64-ea28-47dc-8bab-3af6ed2dd860	Brian Lorenz	primary	direct
2025-01-01..2025-04-30	20250512LUPA1396376	Cleveland Browns	org-cleveland-browns	Andrew Minton	person-andrew-minton	bill_referenced	SB 150	SB 150	bill	ocd-bill/819b256d-3891-429c-8d7c-53fdc109c420	Increase sports gaming tax; allocate for athletics, sports venues	Increase sports gaming tax; allocate for athletics, sports venues	1	ocd-person/5a9b2a16-6827-4e00-961a-f3de39538749	Louis W. Blessing, III	primary	direct
2025-01-01..2025-04-30	20250518LUPA1398890	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	bill_referenced	HB 160	HB 160	bill	ocd-bill/155d6471-f2cd-4f75-b3fa-ac75bca6d5f8	Revise liquor control, hemp, and adult-use marijuana laws	Revise liquor control, hemp, and adult-use marijuana laws	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250518LUPA1398890	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	bill_referenced	HB 198	HB 198	bill	ocd-bill/b2ba30b9-5cee-47d1-834d-96e84125cfba	Regulate manufacture, sale of inhalable, ingestible hemp products	Regulate manufacture, sale of inhalable, ingestible hemp products	2	ocd-person/09c752d1-59eb-4f43-b401-5092d801f4c1	Ty D. Mathews	primary	direct
2025-01-01..2025-04-30	20250518LUPA1398890	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	bill_referenced	HB 198	HB 198	bill	ocd-bill/b2ba30b9-5cee-47d1-834d-96e84125cfba	Regulate manufacture, sale of inhalable, ingestible hemp products	Regulate manufacture, sale of inhalable, ingestible hemp products	2	ocd-person/16e469e4-8014-4ba2-8fc4-91804d6ef491	Tex Fischer	primary	direct
