filing_id	report_period	principal_name	principal_id	lobbyist_name	lobbyist_id	total_expenditure	is_current	filing_action	supersedes	n_positions	n_gifts	n_expenditures	extraction_warnings
20250314EUPA1394434	2025-01-01..2025-04-30	Ohio Poverty Law Center	org-ohio-poverty-law-center	Susan M Jagers	person-susan-m-jagers	0.0	True	original		2	0	0	"[""This is an Executive Agency AER (not a legislative AER). The schema and extraction rules reference legislative filings, but the source is titled 'View Agent Executive AER' and discloses executive agency lobbying activity (agency decisions/rules, not bills). No bill numbers are listed in Section I; the two lobbying activities are agency decisions described in free text. The 'implementation of HB 29' reference is embedded in an agency decision description, not a standalone bill position — it has been captured in the description field of a LobbyingPosition but no BillReference was created since no formal bill position was filed."", 'Section I columns are Agency / Decision Description / Decision/Rule# rather than the legislative bill/resolution format. The Decision/Rule# column appears blank for both rows. This executive agency structure has no direct schema equivalent; positions are used as the closest available container.', ""Reporting period label 'Jan-Apr25' suggests a January–April 2025 window. Exact start/end dates (2025-01-01 to 2025-04-30) are inferred from the period label; the precise dates are not explicitly stated in the source.""]"
20250505LUPA1394956	2025-01-01..2025-04-30	Secure Elections Project	org-secure-elections-project	William L Byers, IV	person-william-l-byers-iv	0.0	True	original		6	0	0	"[""Reporting period label is 'Jan-Apr25'; mapped to 2025-01-01 through 2025-04-30 per the OH AER Jan–Apr window (May 31 deadline). Exact day boundaries are inferred from standard OH quarterly convention, not explicitly stated in the source."", ""Section II states 'No expenditures' with no line items in any sub-section (II.A Gifts, II.B Itemized Meals & Beverages, II.C Dinner/Party/Function, II.D Aggregate); no expenditure rows emitted.""]"
20250505LUPA1395368	2025-01-01..2025-04-30	Carvana	org-carvana	Collin Crigger	person-collin-crigger	0.0	True	original		2	0	0	"[""Reporting period label is 'Jan-Apr25'; mapped to 2025-01-01 – 2025-04-30. Ohio Jan-filing windows typically cover Jan 1 – Apr 30; confirm if the exact end date differs."", 'Session number for HB 54 and HB 96 inferred as Ohio 136th General Assembly based on the 2025 filing date; not explicitly stated in source.']"
20250512EUPA1396214	2025-01-01..2025-04-30	U.S. Sportsmen's Alliance	org-u-s-sportsmen-s-alliance	Robert Sexton	person-robert-sexton	0.0	True	original		0	0	0	"[""This AER is an Executive Agency filing (not a Legislative AER). Section I covers 'Executive Agency Lobbying Activity' (agency decisions), not legislative bills/resolutions. No agency decisions were disclosed. The schema's LobbyingPosition is oriented toward bills; no positions emitted."", ""Reporting period is labeled 'Jan-Apr25'. OH executive AER periods do not align exactly with the legislative quarterly windows. Start date inferred as 2025-01-01 and end date as 2025-04-30 based on the label; exact boundary dates are not stated in the source.""]"
20250512LUPA1396330	2025-01-01..2025-04-30	Columbus Crew SC	org-columbus-crew-sc	William L Byers, IV	person-william-l-byers-iv	0.0	True	original		3	0	0	"[""Reporting period label is 'Jan-Apr25'; OH standard quarterly periods run Jan 1–Apr 30, so reporting_period_start=2025-01-01 and reporting_period_end=2025-04-30 were inferred — confirm against OLAC official period boundaries.""]"
20250512LUPA1396376	2025-01-01..2025-04-30	Cleveland Browns	org-cleveland-browns	Andrew Minton	person-andrew-minton	0.0	True	original		3	0	0	"[""Section II shows 'No expenditures' globally — no expenditure rows emitted for any sub-section (II.A, II.B, II.C, II.D)."", ""Reporting period label 'Jan-Apr25' maps to 2025-01-01 through 2025-04-30 per Ohio's Jan 31-deadline quarterly window; exact start/end dates were inferred from the period label, not stated explicitly.""]"
20250513EUPA1396552	2025-01-01..2025-04-30	United Way of Central Ohio	org-united-way-of-central-ohio	C David Paragas	person-c-david-paragas	0.0	True	original		0	0	0	"['This AER is an Executive Agency form (View Agent Executive AER), not a Legislative Agent AER. The regime is executive agency lobbying under a different ORC chapter, not ORC §§101.70-101.79 legislative lobbying. The schema and extraction rules were written for legislative AERs; this record should be flagged for regime re-classification.', ""Section I discloses 'No agency decisions' — no LobbyingPosition rows emitted."", ""Section II discloses 'No expenditures' — no LobbyingExpenditure rows emitted."", ""Reporting period label is 'Jan-Apr25'; interpreted as 2025-01-01 through 2025-04-30. Ohio executive AER windows may differ from legislative windows; exact end date should be verified against OLAC filing rules.""]"
20250515EUPA1397822	2025-01-01..2025-04-30	Synenberg, Coletta & Moran, LLC	org-synenberg-coletta-moran-llc	Jonathan S Hughes	person-jonathan-s-hughes	0.0	True	original		0	0	0	"[""This AER is an Executive Agency report (not a Legislative AER). The form covers executive agency lobbying activity, not legislative bill/resolution activity. Section I states 'No agency decisions' and Section II states 'No expenditures'."", ""Reporting period label 'Jan-Apr25' does not align with standard OH quarterly-tri-annual windows (ending May 31 / Sep 30 / Jan 31). Interpreted as January–April 2025; exact start/end dates are inferred.""]"
20250518LUPA1398890	2025-01-01..2025-04-30	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	0.0	True	original		3	0	0	"[""Section II shows 'No expenditures' — no expenditure rows emitted for any sub-section (II.A, II.B, II.C, II.D).""]"
20250519EUPA1400054	2025-01-01..2025-04-30	Lenovo United States Inc	org-lenovo-united-states-inc	Michael Toman	person-michael-toman	0.0	True	original		0	0	0	"[""This AER is an Executive Agency filing (OLAC 'View Agent Executive AER'), not a Legislative Agent AER. The source covers executive agency lobbying under a different regulatory regime from ORC §§101.70-101.79. The schema filing_type 'activity_report' is used as the closest fit, but the distinction between legislative and executive agent filings is not captured."", 'Section I discloses an agency decision (Administrative Services / Misc. IT) with a Decision/Rule # column that was blank. The LobbyingEngagement entity is used to represent this, but the schema is designed for legislative contact logging; executive agency decision advocacy is a schema gap.', ""Section II states 'No expenditures' — no expenditure rows emitted."", ""Reporting period label is 'Jan-Apr25'; interpreted as 2025-01-01 to 2025-04-30. Ohio executive AER periods may differ from legislative quarterly windows; exact end date not explicitly stated in source.""]"
20250519LUPA1399318	2025-01-01..2025-04-30	Friendship Circle of Cleveland	org-friendship-circle-of-cleveland	Rachel Schubert	person-rachel-schubert	0.0	True	original		1	0	0	"[""Reporting period label 'Jan-Apr25' is a non-standard OH quarterly window (January–April 2025); standard OH periods run Jan–Apr, May–Aug, Sep–Dec. Start date set to 2025-01-01 and end date to 2025-04-30 based on the label."", ""Section II shows 'No expenditures' — all expenditure sections (II.A, II.B, II.C, II.D) are empty; no expenditure rows emitted.""]"
20250519LUPA1399724	2025-01-01..2025-04-30	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	0.0	True	original		4	0	0	"[""Reporting period 'Jan-Apr25' maps to 2025-01-01 through 2025-04-30 (standard OH Jan–Apr quarterly window). Exact start/end dates not explicitly stated on the form."", ""Section II states 'No expenditures' — all expenditure sections (II.A Gifts, II.B Itemized Meals & Beverages, II.C Dinner/Party/Function, II.D Non-itemized Aggregate) are empty; no expenditure rows emitted."", ""The footer attribution '©2026' appears in the source but is a system/template copyright notice, not a filing date or content element; ignored.""]"
