filing_id	lobbyist_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_hours_communicating	total_hours_other	source_url
WI-lobbyist-11040-activity-2025-H1	11040	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11040
WI-lobbyist-11040-activity-2025-H2	11040	WI	activity_report	lobbyist	2025-07-01	2025-12-31	4.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11040
WI-lobbyist-11040-activity-2026-H1	11040	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11040
WI-lobbyist-11040-activity-2026-H2	11040	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11040
WI-lobbyist-11041-activity-2025-H1	11041	WI	activity_report	lobbyist	2025-01-01	2025-06-30	44.75	241.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11041
WI-lobbyist-11041-activity-2025-H2	11041	WI	activity_report	lobbyist	2025-07-01	2025-12-31	6.5	231.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11041
WI-lobbyist-11041-activity-2026-H1	11041	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11041
WI-lobbyist-11041-activity-2026-H2	11041	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11041
WI-lobbyist-11042-activity-2025-H1	11042	WI	activity_report	lobbyist	2025-01-01	2025-06-30	125.0	259.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11042
WI-lobbyist-11042-activity-2025-H2	11042	WI	activity_report	lobbyist	2025-07-01	2025-12-31	74.0	276.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11042
WI-lobbyist-11042-activity-2026-H1	11042	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11042
WI-lobbyist-11042-activity-2026-H2	11042	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11042
WI-lobbyist-11043-activity-2025-H1	11043	WI	activity_report	lobbyist	2025-01-01	2025-06-30	21.0	25.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11043
WI-lobbyist-11043-activity-2025-H2	11043	WI	activity_report	lobbyist	2025-07-01	2025-12-31	1.0	2.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11043
WI-lobbyist-11043-activity-2026-H1	11043	WI	activity_report	lobbyist	2026-01-01	2026-06-30	2.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11043
