lobbyist_id	principal_id	authorized_on	withdrawn_on	discovered_via	lobbyist_in_grid
11040	13090	2025-11-11		both	true
11041	11279	2025-01-06		both	true
11042	10937	2024-12-03		both	true
11042	11004	2024-12-10		both	true
11042	11102	2025-01-03		both	true
11042	11110	2024-12-13		both	true
11042	11158	2024-12-17		both	true
11042	11300	2024-12-20		both	true
11042	11590	2025-01-03		both	true
11042	11678	2025-01-07		both	true
11042	13214	2026-02-17		both	true
11043	10937	2024-12-03		both	true
11044	10936	2025-01-02		both	true
11045	10941	2024-12-10	2025-07-01	both	true
11045	11325	2025-08-13		both	true
11046	10938	2024-12-16		both	true
11047	10936	2025-01-02		both	true
11048	11570	2025-01-02		both	true
11049	10939	2024-12-03		both	true
11050	10940	2024-12-03		both	true
11051	10939	2024-12-03		both	true
11051	10942	2024-12-03		both	true
11051	10943	2024-12-03		both	true
11051	11099	2024-12-13		both	true
11051	11179	2024-12-17		both	true
11051	11444	2025-12-04		both	true
11051	11445	2025-12-04		both	true
11051	13174	2026-01-23		both	true
11052	11111	2024-12-13		both	true
11052	11162	2025-01-30		both	true
11052	11175	2024-12-19		both	true
11052	11192	2025-01-06		both	true
11052	11203	2024-12-26		both	true
11052	11469	2024-12-30		both	true
11052	11489	2024-12-30		both	true
11052	11508	2025-01-03		both	true
11052	11534	2025-01-02		both	true
11052	11599	2025-01-30		both	true
11052	11617	2025-06-12		both	true
11052	11622	2025-01-14		both	true
11052	11623	2025-01-14		both	true
11052	11633	2025-01-22		both	true
11052	11677	2025-01-07		both	true
11052	11700	2025-01-08		both	true
11052	11702	2025-01-08		both	true
11052	11710	2025-01-14		both	true
11052	11711	2025-01-08		both	true
11052	11712	2025-01-08		both	true
11052	11713	2025-01-08		both	true
11052	11715	2025-01-08		both	true
11052	11718	2025-01-08		both	true
11052	11721	2025-01-08		both	true
11052	11726	2025-01-09		both	true
11052	11727	2025-01-09		both	true
11052	11728	2025-01-09		both	true
11052	11735	2025-01-10		both	true
11052	11736	2025-01-10		both	true
11052	11740	2025-01-10		both	true
11052	12782	2025-01-13		both	true
11052	12856	2025-01-28		both	true
11052	12892	2025-01-31		both	true
11052	12975	2025-03-20		both	true
11052	13025	2025-06-05		both	true
11052	13067	2025-09-04		both	true
11052	13084	2025-10-09		both	true
11052	13085	2025-10-23		both	true
11052	13098	2025-10-22		both	true
11052	13147	2026-01-06		both	true
11052	13189	2026-02-02		both	true
11053	10945	2024-12-05		both	true
11054	10944	2025-01-07		both	true
11055	10948	2024-12-09		both	true
11056	11014	2024-12-13		both	true
11056	11015	2024-12-13		both	true
11056	11016	2024-12-13		both	true
11056	11143	2024-12-18		both	true
11056	11144	2024-12-18		both	true
11056	11154	2024-12-18		both	true
11056	11257	2024-12-30		both	true
11056	11313	2024-12-23		both	true
11056	13217	2026-02-19		both	true
11057	10945	2024-12-12		both	true
11057	11068	2024-12-16		both	true
11057	11070	2024-12-11		both	true
11057	11221	2024-12-20		both	true
11057	11247	2024-12-18		both	true
11057	11248	2025-01-02	2025-03-05	both	true
