principal_id	bucket	item_id	item_name	item_description	period_label	percent
10936	Legislative Bills/Resolutions	24514	Senate Bill 3	Relating to: requiring local approval for certain wind and solar projects before Public Service Commission approval.	2025 January - June	1%
10936	Legislative Bills/Resolutions	24551	Assembly Bill 7	Relating to: requiring local approval for certain wind and solar projects before Public Service Commission approval.	2025 January - June	1%
10936	Legislative Bills/Resolutions	24572	Senate Bill 28	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 January - June	30%
10936	Legislative Bills/Resolutions	24592	Assembly Bill 25	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 January - June	20%
10936	Legislative Bills/Resolutions	24759	Senate Bill 122	Relating to: limitations on the total value of taxable property that may be included in a tax incremental financing district created in the city of Port Washington. (FE)	2025 January - June	1%
10936	Legislative Bills/Resolutions	24767	Assembly Bill 108	Relating to: a nuclear power siting study and time limits for taking final action on certain certificate of public convenience and necessity applications. (FE)	2025 January - June	1%
10936	Legislative Bills/Resolutions	24908	Assembly Bill 174	Relating to: transmission facilities; installation of large wind energy, large solar energy, and battery energy storage systems; installation of light-mitigating technology systems; and prioritizing nuclear energy resources. (FE)	2025 January - June	10%
10936	Legislative Bills/Resolutions	25008	Assembly Bill 218	Relating to: limitations on ownership of real property in this state by foreign persons. (FE)	2025 January - June	1%
10936	Legislative Bills/Resolutions	25627	Assembly Bill 472	Relating to: a nuclear energy generation tax credit; prioritizing nuclear energy resources; approval of certain electric tariffs for very large customers; and authorizing electric utilities to recover certain precertification costs through rates. (FE)	2025 July - December	10%
10936	Legislative Bills/Resolutions	25674	Senate Bill 502	Relating to: a nuclear energy generation tax credit; prioritizing nuclear energy resources; approval of certain electric tariffs for very large customers; and authorizing electric utilities to recover certain precertification costs through rates. (FE)	2025 July - December	5%
10936	Legislative Bills/Resolutions	25709	Assembly Bill 493	Relating to: authorizing community solar programs and granting rule-making authority. (FE)	2025 July - December	5%
10936	Legislative Bills/Resolutions	25813	Assembly Bill 559	Relating to: providing utility aid payments for certain energy storage facilities. (FE)	2025 July - December	15%
10936	Legislative Bills/Resolutions	25843	Senate Bill 556	Relating to: providing utility aid payments for certain energy storage facilities. (FE)	2025 July - December	15%
