filing_id	principal_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_expenditure	total_hours_communicating	total_hours_other	source_url
WI-principal-10936-expenditure-2025-H1	10936	WI	expenditure_report	client	2025-01-01	2025-06-30	127867.9	200.75	247.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10936
WI-principal-10936-expenditure-2025-H2	10936	WI	expenditure_report	client	2025-07-01	2025-12-31	113253.13	139.0	179.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10936
WI-principal-10937-expenditure-2025-H1	10937	WI	expenditure_report	client	2025-01-01	2025-06-30	11550.0	40.0	61.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10937
WI-principal-10937-expenditure-2025-H2	10937	WI	expenditure_report	client	2025-07-01	2025-12-31	9600.0	9.0	36.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10937
WI-principal-10938-expenditure-2025-H1	10938	WI	expenditure_report	client	2025-01-01	2025-06-30	34895.79	14.75	232.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10938
WI-principal-10938-expenditure-2025-H2	10938	WI	expenditure_report	client	2025-07-01	2025-12-31	5737.41	1.5	39.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10938
WI-principal-10939-expenditure-2025-H1	10939	WI	expenditure_report	client	2025-01-01	2025-06-30	37763.02	82.2	480.6	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10939
WI-principal-10939-expenditure-2025-H2	10939	WI	expenditure_report	client	2025-07-01	2025-12-31	33035.69	41.2	185.7	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10939
WI-principal-10940-expenditure-2025-H1	10940	WI	expenditure_report	client	2025-01-01	2025-06-30	3545.2	3.5	3.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10940
WI-principal-10940-expenditure-2025-H2	10940	WI	expenditure_report	client	2025-07-01	2025-12-31	38.46	0.0	0.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10940
WI-principal-10941-expenditure-2025-H1	10941	WI	expenditure_report	client	2025-01-01	2025-06-30	47625.65	17.25	41.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10941
WI-principal-10941-expenditure-2025-H2	10941	WI	expenditure_report	client	2025-07-01	2025-12-31	47637.48	21.5	32.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10941
WI-principal-10942-expenditure-2025-H1	10942	WI	expenditure_report	client	2025-01-01	2025-06-30	20853.25	18.1	72.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10942
WI-principal-10942-expenditure-2025-H2	10942	WI	expenditure_report	client	2025-07-01	2025-12-31	27691.06	36.6	112.7	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10942
WI-principal-10943-expenditure-2025-H1	10943	WI	expenditure_report	client	2025-01-01	2025-06-30	19460.98	4.75	83.4	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10943
WI-principal-10943-expenditure-2025-H2	10943	WI	expenditure_report	client	2025-07-01	2025-12-31	19290.0	1.7	50.2	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10943
WI-principal-10944-expenditure-2025-H1	10944	WI	expenditure_report	client	2025-01-01	2025-06-30	3454.96	2.5	40.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10944
WI-principal-10944-expenditure-2025-H2	10944	WI	expenditure_report	client	2025-07-01	2025-12-31	308.49	0.0	5.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10944
WI-principal-10945-expenditure-2025-H1	10945	WI	expenditure_report	client	2025-01-01	2025-06-30	80265.0	95.5	484.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10945
WI-principal-10945-expenditure-2025-H2	10945	WI	expenditure_report	client	2025-07-01	2025-12-31	77672.1	78.25	471.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10945
WI-principal-10948-expenditure-2025-H1	10948	WI	expenditure_report	client	2025-01-01	2025-06-30	17426.85	47.75	202.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10948
WI-principal-10948-expenditure-2025-H2	10948	WI	expenditure_report	client	2025-07-01	2025-12-31	8425.1	13.0	102.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10948
WI-principal-10949-expenditure-2025-H1	10949	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10949
WI-principal-10952-expenditure-2025-H1	10952	WI	expenditure_report	client	2025-01-01	2025-06-30	12027.75	72.5	46.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10952
WI-principal-10952-expenditure-2025-H2	10952	WI	expenditure_report	client	2025-07-01	2025-12-31	38266.28	119.25	155.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10952
WI-principal-10953-expenditure-2025-H1	10953	WI	expenditure_report	client	2025-01-01	2025-06-30	7962.0	44.24	14.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10953
WI-principal-10953-expenditure-2025-H2	10953	WI	expenditure_report	client	2025-07-01	2025-12-31	3934.31	41.55	16.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10953
WI-principal-10954-expenditure-2025-H1	10954	WI	expenditure_report	client	2025-01-01	2025-06-30	20111.4	26.0	77.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10954
WI-principal-10954-expenditure-2025-H2	10954	WI	expenditure_report	client	2025-07-01	2025-12-31	8276.0	12.0	32.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10954
WI-principal-10956-expenditure-2025-H1	10956	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	8.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10956
WI-principal-10956-expenditure-2025-H2	10956	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10956
WI-principal-10957-expenditure-2025-H1	10957	WI	expenditure_report	client	2025-01-01	2025-06-30	27515.0	22.5	27.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10957
WI-principal-10957-expenditure-2025-H2	10957	WI	expenditure_report	client	2025-07-01	2025-12-31	22601.0	7.5	24.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10957
WI-principal-10958-expenditure-2025-H1	10958	WI	expenditure_report	client	2025-01-01	2025-06-30	17572.5	11.7	52.2	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10958
WI-principal-10958-expenditure-2025-H2	10958	WI	expenditure_report	client	2025-07-01	2025-12-31	18841.0	15.1	47.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10958
WI-principal-10959-expenditure-2025-H1	10959	WI	expenditure_report	client	2025-01-01	2025-06-30	2895.16	21.5	14.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10959
WI-principal-10959-expenditure-2025-H2	10959	WI	expenditure_report	client	2025-07-01	2025-12-31	3935.57	18.0	50.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10959
WI-principal-10960-expenditure-2025-H1	10960	WI	expenditure_report	client	2025-01-01	2025-06-30	14481.15	132.0	688.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10960
WI-principal-10960-expenditure-2025-H2	10960	WI	expenditure_report	client	2025-07-01	2025-12-31	14042.63	119.0	627.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10960
WI-principal-10961-expenditure-2025-H1	10961	WI	expenditure_report	client	2025-01-01	2025-06-30	90989.63	129.85	299.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10961
WI-principal-10961-expenditure-2025-H2	10961	WI	expenditure_report	client	2025-07-01	2025-12-31	102160.89	81.7	151.2	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10961
WI-principal-10962-expenditure-2025-H1	10962	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10962
WI-principal-10962-expenditure-2025-H2	10962	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10962
WI-principal-10963-expenditure-2025-H1	10963	WI	expenditure_report	client	2025-01-01	2025-06-30	22085.52	204.25	714.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10963
WI-principal-10963-expenditure-2025-H2	10963	WI	expenditure_report	client	2025-07-01	2025-12-31	15243.28	140.25	635.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10963
WI-principal-10964-expenditure-2025-H1	10964	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	22.25	25.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10964
WI-principal-10964-expenditure-2025-H2	10964	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10964
WI-principal-10965-expenditure-2025-H1	10965	WI	expenditure_report	client	2025-01-01	2025-06-30	14362.91	130.0	692.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10965
WI-principal-10965-expenditure-2025-H2	10965	WI	expenditure_report	client	2025-07-01	2025-12-31	11838.51	114.0	615.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10965
WI-principal-10966-expenditure-2025-H1	10966	WI	expenditure_report	client	2025-01-01	2025-06-30	11962.91	129.0	669.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10966
WI-principal-10966-expenditure-2025-H2	10966	WI	expenditure_report	client	2025-07-01	2025-12-31	11838.51	114.0	615.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10966
WI-principal-10967-expenditure-2025-H1	10967	WI	expenditure_report	client	2025-01-01	2025-06-30	11962.91	129.0	669.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10967
WI-principal-10967-expenditure-2025-H2	10967	WI	expenditure_report	client	2025-07-01	2025-12-31	11838.51	114.5	615.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10967
WI-principal-10968-expenditure-2025-H1	10968	WI	expenditure_report	client	2025-01-01	2025-06-30	35864.22	2.25	85.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10968
WI-principal-10968-expenditure-2025-H2	10968	WI	expenditure_report	client	2025-07-01	2025-12-31	40317.48	21.5	113.25	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10968
WI-principal-10969-expenditure-2025-H1	10969	WI	expenditure_report	client	2025-01-01	2025-06-30	26307.02	20.75	43.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10969
WI-principal-10969-expenditure-2025-H2	10969	WI	expenditure_report	client	2025-07-01	2025-12-31	36305.71	41.75	52.75	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10969
WI-principal-10970-expenditure-2025-H1	10970	WI	expenditure_report	client	2025-01-01	2025-06-30	2546.1	19.0	9.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/10970
