principal_id	id	name	source_state	classification	legal_form	sector	contact_details_json	ceo_name	business_or_interest	lobbying_interests_prose
10936	WI-principal-10936	WEC Energy Group, Inc.	WI				"[{""type"":""address"",""value"":""231 W Michigan St., P421\nMilwaukee, WI 53203"",""note"":""""},{""type"":""phone"",""value"":""(414) 221-4102"",""note"":""""},{""type"":""email"",""value"":""joel.haubrich@wecenergygroup.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wecenergygroup.com/"",""note"":""""}]"	Scott  Lauber	"WEC Energy Group (NYSE: WEC), based in Milwaukee, is one of the nation's premier energy companies, serving 4.6 million customers in Wisconsin, Illinois, Michigan and Minnesota.

The company's principal utilities are We Energies, Wisconsin Public Service, Peoples Gas, North Shore Gas, Michigan Gas Utilities, Minnesota Energy Resources and Upper Michigan Energy Resources. Another major subsidiary, We Power, designs, builds and owns electric generating plants. In addition, WEC Infrastructure LLC owns a growing fleet of renewable generation facilities in the Midwest.

WEC Energy Group (wecenergygroup.com) is a Fortune 500 company and a component of the S&P 500. The company has 38,000 stockholders of record, 7,000 employees and $39 billion of assets."	Any and all legislation and administrative rules affecting operation or governance of the public utility industry and activities related to or in support of the energy or energy related businesses. Any and all legislation and administrative rules affecting any of the businesses owned by WEC Energy Group.
10937	WI-principal-10937	Wisconsin County Forests Association	WI				"[{""type"":""address"",""value"":""801 N Sales Str, Suite 107\nMerrill, WI 54452"",""note"":""""},{""type"":""phone"",""value"":""(715) 539-1097"",""note"":""""},{""type"":""email"",""value"":""rebekah@wisconsincountyforests.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wisconsincountyforests.com"",""note"":""""}]"		Public forest and natural resource management interests of counties with county forest lands enrolled under Wisconsin's County Forest Law.  Engage in state legislative and policy issues related to public land and natural resource management.	Forestry, wildlife, conservation, natural resource management, tourism, and transportation issues that may impact or effect sustainable management of county forests enrolled under Wisconsin's County Forest Law.
10938	WI-principal-10938	Wisconsin Trust Account Foundation, Inc.	WI				"[{""type"":""address"",""value"":""203 S. Paterson St., Ste. 200\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""608-257-2841"",""note"":""""},{""type"":""email"",""value"":""rmurray@wistaf.org"",""note"":""""},{""type"":""website"",""value"":""http://wistaf.org"",""note"":""""}]"		WisTAF partners with and receives support from members of Wisconsin's legal profession and banking industry, via the Interest on Lawyers Trust Accounts (IOLTA) program and Public Interest Legal Services Fund (PILSF). WisTAF makes grants to nonprofit law firms and, on occasion, other social service agencies whose missions include increasing access to the civil justice system for low income Wisconsinites. WisTAF is governed by a 15-member board of directors appointed by the Chief Justice of the Wisconsin Supreme Court and/or State Bar of Wisconsin president (3 judges, 9 lawyers, 3 nonlawyers). (WisTAF also receives and administers public funding to support its mission.)	We anticipate educating policymakers on the need for civil legal aid in Wisconsin and requesting appropriate State investment in such services via the biennial budget process.
10939	WI-principal-10939	Wisconsin Hotel and Lodging Association	WI				"[{""type"":""address"",""value"":""125 N. Executive Drive, Ste. 206\nBrookfield, WI 53005"",""note"":""""},{""type"":""phone"",""value"":""(262) 782-2851"",""note"":""""},{""type"":""email"",""value"":""belliott@wisconsinlodging.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wisconsinlodging.org"",""note"":""""}]"	Bill Elliott	Lodging industry throughout Wisconsin.	Any areas affecting the lodging and tourism industries as businesses and employers providing lodging services in Wisconsin to the public.
10940	WI-principal-10940	MACC Fund	WI				"[{""type"":""address"",""value"":""10000 Innovation Drive, Suite 135\nMilwaukee, WI 53226"",""note"":""""},{""type"":""phone"",""value"":""2625105675"",""note"":""""},{""type"":""email"",""value"":""agentry@maccfund.org"",""note"":""""},{""type"":""website"",""value"":""http://maccfund.org"",""note"":""""}]"		We raise funds for childhood cancer research. These funds come from individual donors, memorial gifts, fundraisers, corporate matching, and corporate sponsors.	We are working to introduce and pass a bill that would establish a pediatric cancer research trust fund to be housed in the Department of Health. We will be asking for an appropriation of $10 million. Once the trust fund is established, research institutions and hospitals can apply for grants for childhood cancer research.
10941	WI-principal-10941	Northwestern Mutual	WI				"[{""type"":""address"",""value"":""720 E Wisconsin Ave\nMilwaukee, WI 53202"",""note"":""""},{""type"":""phone"",""value"":""(414) 665-2574"",""note"":""""},{""type"":""email"",""value"":""patrickmcnulty@northwesternmutual.com"",""note"":""""},{""type"":""website"",""value"":""http://www.northwesternmutual.com"",""note"":""""}]"	Timothy Gerend	For more than 165 years, Northwestern Mutual has helped its policyowners and clients achieve financial security. The company offers insurance, investment products and advisory services to help people in the areas of financial protection, wealth accumulation, and estate preservation and distribution. Whether clients seek personal financial security or security for their business or estate, Northwestern Mutual offers an array of solutions, including permanent and term life insurance, disability insurance, long-term care insurance, annuities, trust services, mutual funds and advisory services.	Legislation and regulations regarding our products and services including permanent and term life insurance, disability income insurance, long term care insurance, annuities, trust services, mutual funds and other securities.
10942	WI-principal-10942	Outdoor Advertising Association of Wisconsin	WI				"[{""type"":""address"",""value"":""25 W. Main St., Suite 500\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""715-261-7353"",""note"":""""},{""type"":""email"",""value"":""kkilgore@ruderware.com"",""note"":""""},{""type"":""website"",""value"":""http://www.oaaw.org"",""note"":""""}]"	Kathleen Kilgore	The association represents outdoor advertising businesses.	The organization may attempt to influence any legislation or regulation which affects the billboard industry.
10943	WI-principal-10943	Academic Staff Professionals Representation Organization (ASPRO)	WI				"[{""type"":""address"",""value"":""25 W. Main St., Suite 500\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""715-261-7353"",""note"":""""},{""type"":""email"",""value"":""kkilgore@ruderware.com"",""note"":""""},{""type"":""website"",""value"":""http://www.aspro.net"",""note"":""""}]"	Kathleen Kilgore	Academic Staff employed throughout the University of Wisconsin System	ASPRO is primarily interested in legislation that affects higher education in the University of Wisconsin system and the academic staff members within the system.
10944	WI-principal-10944	Wisconsin Association of Free and Charitable Clinics	WI				"[{""type"":""address"",""value"":""1256 Capitol Drive, Suite 700, #210\nPewaukee, WI 53072"",""note"":""""},{""type"":""phone"",""value"":""(414) 308-6839 x_____"",""note"":""""},{""type"":""email"",""value"":""Dennis.Skrajewski@wafcclinics.org"",""note"":""""},{""type"":""website"",""value"":""http://wafcclinics.org"",""note"":""""}]"	Dennis Skrajewski	WAFCC represents Wisconsin's free and charitable clinics. Free and Charitable Clinics are safety-net health care organizations that utilize a volunteer/staff model to provide a range of medical, dental, pharmacy, vision and/or behavioral health services to economically disadvantaged individuals. Such clinics are 501(c)(3) tax-exempt organizations, or operate as a program component or affiliate of a 501(c)(3) organization. Entities that otherwise meet the above definition, but charge a nominal/sliding fee to patients, may still be considered Free or Charitable Clinics provided essential services are delivered regardless of the patient's ability to pay.  Free or charitable clinics restrict eligibility for their services to individuals who are uninsured, underinsured and/or have limited or no access to primary, specialty or prescription health care.	Volunteer Health Care Provider (VHCP) legislation, Insurance/Medicaid reimbursement and coverage, Pharmacy/Dispensary laws & rules; Public health policies, Mental/Behavioral health policies, Dental health policies, Primary care policies, Insurance policies, policies that will impact the uninsured, policies that will impact free and charitable clinics, policies that will impact free and charitable clinic patients, Fundraising polices, Tax policies that will impact charitable giving or clinics.
10945	WI-principal-10945	Wisconsin Medical Society	WI				"[{""type"":""address"",""value"":""P.O. Box 1109\nMadison, WI 53701"",""note"":""""},{""type"":""phone"",""value"":""608.442.3800"",""note"":""""},{""type"":""email"",""value"":""mark.grapentine@wismed.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wismed.org"",""note"":""""}]"	Mike Flesher	Improve the health of the people of Wisconsin by supporting and strengthening physicians' ability to practice high-quality patient care in a changing environment.	Government's involvement in health care; improving health care quality, value, and access; physician vitality; medical liability environment; public health and safety.
10948	WI-principal-10948	Professional Insurance Agents of Wisconsin	WI				"[{""type"":""address"",""value"":""725 Heartland Trail, Suite 108\nMadison, WI 53717"",""note"":""""},{""type"":""phone"",""value"":""6082748188"",""note"":""""},{""type"":""email"",""value"":""phanson@piaw.org"",""note"":""""},{""type"":""website"",""value"":""http://www.piaw.org"",""note"":""""}]"	Pete Hanson	Insurance agents	Any function or activity of any branch, department or phase of state or local government that may affect insurance agencies, insurance agents, the insurance industry, small businesses, taxation, regulation or the economy in Wisconsin.
10949	WI-principal-10949	Apex Clean Energy, Inc.	WI				"[{""type"":""address"",""value"":""120 Garrett Street, Suite 700\nCharlottesville, VA 22902"",""note"":""""},{""type"":""phone"",""value"":""(202)849-9002"",""note"":""""},{""type"":""email"",""value"":""apex@vantagelegal.com"",""note"":""""}]"	Ken Young	Issues related to renewable energy production policy.	Issues related to renewable energy production policy.
10952	WI-principal-10952	Wisconsin Paper Council	WI				"[{""type"":""address"",""value"":""44 East Mifflin Street\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""6084676025"",""note"":""""},{""type"":""email"",""value"":""suder@wipaper.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wipaper.org "",""note"":""""}]"	Scott Suder	"The Wisconsin Paper Council (WPC) is the member-driven statewide trade association representing Wisconsin’s paper, pulp, packaging and forestry industries. The WPC strategically advocates on behalf of these industries to state and federal policymakers, achieving positive policy outcomes. 
Our team of professionals provides our diverse membership with accurate and timely information essential to their success. 
The WPC provides world class educational forums and networking opportunities for our membership.
The WPC also promotes the positive economic, environmental, and social contributions of our industries throughout our state and nation."	Environmental policy, forestry, transportation, government relations, energy, workforce relations, sustainability, rail, papermaking, recycling and safety.
10953	WI-principal-10953	Wisconsin Housing Alliance	WI				"[{""type"":""address"",""value"":""258 Corporate Drive, Suite 200C\nMadison, WI 53714"",""note"":""""},{""type"":""phone"",""value"":""(608) 255-3131"",""note"":""""},{""type"":""email"",""value"":""amy@housingalliance.us"",""note"":""""},{""type"":""website"",""value"":""http://www.housingalliance.us"",""note"":""""}]"	Amy Bliss	Factory-built housing industry including: modular housing, manufactured housing, manufactured home communities, and industry service/suppliers.	Any matter that may affect manufactured (HUD Code) or modular housing including but not limited to taxation, licensing, transportation and consumer protection.
10954	WI-principal-10954	Milwaukee Metropolitan Sewerage District	WI				"[{""type"":""address"",""value"":""260 W Seeboth St\nMilwaukee, WI 53204"",""note"":""""},{""type"":""phone"",""value"":""(414) 225-2077"",""note"":""""},{""type"":""email"",""value"":""bgraffin@mmsd.com"",""note"":""""},{""type"":""website"",""value"":""http://mmsd.com"",""note"":""""}]"		MMSD is a municipal corporation which provides planning, construction, operations and maintenance of a sewerage treatment system along with flood management services, water quality research, household hazardous waste collection, pharmaceutical collection, industrial waste monitoring, laboratory services, planning and engineering services and production of a fertilizer, Milorganite.	Any matter affecting the Milwaukee Metropolitan Sewerage District in any way by any state agency or the legislature.
10956	WI-principal-10956	Wisconsin Center District	WI				"[{""type"":""address"",""value"":""400 W Wisconsin Ave\nMilwaukee, WI 53203"",""note"":""""},{""type"":""phone"",""value"":""(414) 908-6050"",""note"":""""},{""type"":""email"",""value"":""mbrooks@wcd.org"",""note"":""""},{""type"":""website"",""value"":""https://wcd.org/"",""note"":""""}]"		The Wisconsin Center District is in the hospitality industry, with influences on lodging, tavern, restaurant, rental car, airport, public transportation, and entertainment sectors.	Matters relating to the 2025-26 Biennial Budget Bill. Matters relating to the financial and operational success of the Center District.
10957	WI-principal-10957	Audubon Great Lakes	WI				"[{""type"":""address"",""value"":""125 S. Wacker Drive, Suite 2125\nChicago, IL 60606"",""note"":""""},{""type"":""phone"",""value"":""(312) 453-0230"",""note"":""""},{""type"":""email"",""value"":""AudubonGreatLakes@Audubon.org"",""note"":""""},{""type"":""website"",""value"":""https://gl.audubon.org/"",""note"":""""}]"		Manage conservation and policy work throughout the region to protect and improve habitat critical for birds.	issues that affect birds and their habitats.
10958	WI-principal-10958	Wisconsin Council of Life Insurers	WI				"[{""type"":""address"",""value"":""3639 Heatherstone Ridge\nSun Prairie, WI 53590"",""note"":""""},{""type"":""phone"",""value"":""(608) 225-4695 x_____"",""note"":""""},{""type"":""email"",""value"":""connie@oconnell-law.net"",""note"":""""}]"	Brian Pleva	Life insurance.	WI Stats. 600 - 655 and insurance rules.
